bogstav;procent_25;procent_21;partier;listebogstav;kommune_kode;kommune;pp_change
LA;6,299344868133715;1,6663889351774703;Liberal Alliance;I;671;struer;4,632955932956245
DF;19,89609474750143;15,310291989444114;Dansk Folkeparti;O;400;bornholms regionskommune;4,585802758057316
DF;19,865364308342137;15,310291989444114;Dansk Folkeparti;O;400;bornholm;4,5550723188980236
DF;9,866565788568678;5,312049364499145;Dansk Folkeparti;O;510;haderslev;4,554516424069534
LA;4,901145053290542;0,350457984866587;Liberal Alliance;I;326;kalundborg;4,550687068423955
DF;8,502006818868413;3,958289981734527;Dansk Folkeparti;O;370;næstved;4,543716837133886
SF;8,576089489629457;4,140167103130066;SF;F;187;vallensbæk;4,43592238649939
R;12,154294032023287;7,734910353890923;Radikale;B;230;rudersdal;4,419383678132364
LA;6,452557854651007;2,037317484355802;Liberal Alliance;I;746;skanderborg;4,415240370295205
EL;8,984955699589701;4,605771708322597;Enhedslisten;Ø;340;sorø;4,379183991267104
LA;5,211814650889711;0,8336583463338534;Liberal Alliance;I;185;tårnby;4,3781563045558585
DF;10,2910164487558;5,923444585154623;Dansk Folkeparti;O;167;hvidovre;4,367571863601176
LA;5,237110356034865;0,8821233411397347;Liberal Alliance;I;336;stevns;4,35498701489513
SF;8,706320331669346;4,356181934657271;SF;F;161;glostrup;4,350138397012075
DF;8,075883375168951;3,748133930475581;Dansk Folkeparti;O;175;rødovre;4,32774944469337
LA;5,156207054512139;0,8712765347650802;Liberal Alliance;I;791;viborg;4,284930519747059
SF;9,796283447716652;5,5589583843757655;SF;F;851;aalborg;4,2373250633408865
LA;5,312543896614693;1,0840768598312982;Liberal Alliance;I;259;køge;4,228467036783395
SF;12,038287853641592;7,820783672818591;SF;F;390;vordingborg;4,217504180823001
SF;17,59055433259956;13,378764874121677;SF;F;219;hillerød;4,211789458477883
DF;9,581010955218144;5,4015106340687735;Dansk Folkeparti;O;330;slagelse;4,17950032114937
LA;5,408868092691622;1,261008221422511;Liberal Alliance;I;217;helsingør;4,1478598712691115
LA;6,423798232377667;2,2909041615832995;Liberal Alliance;I;210;fredensborg;4,132894070794368
LA;5,66006270428924;1,564210303308499;Liberal Alliance;I;219;hillerød;4,095852400980741
LA;4,616138516824567;0,5643451312999511;Liberal Alliance;I;580;aabenraa;4,051793385524617
DF;10,958801777910582;6,948289003891363;Dansk Folkeparti;O;250;frederikssund;4,010512774019219
SF;8,667875690380018;4,678313455400638;SF;F;657;herning;3,9895622349793802
SF;10,5848427814135;6,643974241030359;SF;F;740;silkeborg;3,94086854038314
S;18,36275722478354;14,432989690721648;Socialdemokratiet;A;840;rebild;3,9297675340618916
DF;7,67408410186987;3,779628443305574;Dansk Folkeparti;O;161;glostrup;3,8944556585642958
SF;6,995278564683664;3,1011558510236457;SF;F;573;varde;3,8941227136600185
SF;11,02195353765133;7,157487669392236;SF;F;630;vejle;3,864465868259094
LA;4,3221411778889625;0,4780290494576208;Liberal Alliance;I;661;holstebro;3,8441121284313415
LA;5,0994905315774295;1,3005202080832332;Liberal Alliance;I;316;holbæk;3,7989703234941965
SF;11,914101192598755;8,148148148148149;SF;F;326;kalundborg;3,7659530444506064
DF;8,936979785969084;5,177713736791547;Dansk Folkeparti;O;360;lolland;3,759266049177538
K;19,378633374630702;15,621514437972486;Konservative;C;265;roskilde;3,757118936658216
SF;7,781212841854934;4,034582132564841;SF;F;360;lolland;3,746630709290093
LA;6,814544260680429;3,070677406119761;Liberal Alliance;I;615;horsens;3,743866854560668
LA;5,313812412505833;1,5878900216249614;Liberal Alliance;I;350;lejre;3,7259223908808714
LA;4,729672561130383;1,0249839846252402;Liberal Alliance;I;161;glostrup;3,7046885765051427
SF;6,543930003645644;2,8659632308897387;SF;F;849;jammerbugt;3,6779667727559056
LA;4,110808546292417;0,4415598233760707;Liberal Alliance;I;450;nyborg;3,6692487229163464
S;20,71376478422171;17,050736497545007;Socialdemokratiet;A;147;frederiksberg;3,6630282866767025
LA;5,476702575417647;1,8170194851431631;Liberal Alliance;I;751;aarhus;3,659683090274484
LA;4,588433203782122;0,9322954380883418;Liberal Alliance;I;479;svendborg;3,65613776569378
DF;6,95671675263512;3,303571428571429;Dansk Folkeparti;O;575;vejen;3,653145324063691
SF;10,120931038966669;6,476097474366373;SF;F;420;assens;3,6448335646002956
LA;4,067168247737434;0,4228559037189635;Liberal Alliance;I;306;odsherred;3,6443123440184704
SF;13,696172248803828;10,072876830940183;SF;F;163;herlev;3,6232954178636447
DF;7,270611190032006;3,650501470866521;Dansk Folkeparti;O;561;esbjerg;3,6201097191654847
DF;5,618977796397151;2,0215991913603237;Dansk Folkeparti;O;450;nyborg;3,5973786050368273
DF;7,006257675887478;3,417294048393593;Dansk Folkeparti;O;159;gladsaxe;3,588963627493885
SF;6,981222917669716;3,4910627452295517;SF;F;510;haderslev;3,4901601724401643
LA;4,487795502594657;1,0161995627111906;Liberal Alliance;I;330;slagelse;3,471595939883466
R;11,017016857074378;7,549218504443238;Radikale;B;746;skanderborg;3,4677983526311396
SF;10,835611089418196;7,373881204231083;SF;F;183;ishøj;3,461729885187113
DF;8,700772911299227;5,245294662141315;Dansk Folkeparti;O;165;albertslund;3,4554782491579124
LA;4,366375323277897;0,9128051818634778;Liberal Alliance;I;730;randers;3,453570141414419
LA;4,370998044553506;0,9191551942481312;Liberal Alliance;I;167;hvidovre;3,4518428503053746
EL;11,155628499710367;7,736191085519301;Enhedslisten;Ø;175;rødovre;3,4194374141910666
LA;4,090574563130059;0,6846840647525332;Liberal Alliance;I;561;esbjerg;3,405890498377526
SF;9,60308056872038;6,211631130767708;SF;F;153;brøndby;3,391449437952671
LA;4,406255574716061;1,0177789229580003;Liberal Alliance;I;340;sorø;3,3884766517580607
DF;6,838869130146483;3,474903474903475;Dansk Folkeparti;O;661;holstebro;3,3639656552430077
SF;8,077074559941831;4,722550177095632;SF;F;376;guldborgsund;3,354524382846199
SF;6,592616791898072;3,2523242537922035;SF;F;580;aabenraa;3,3402925381058686
V;6,379585326953747;3,0449527382928063;Venstre;V;163;herlev;3,334632588660941
SF;7,251378758228073;3,9355589770550905;SF;F;710;favrskov;3,3158197811729826
V;14,59155161078238;11,286730995939395;Venstre;V;190;furesø;3,304820614842985
SF;11,93843040132087;8,640740634911564;SF;F;746;skanderborg;3,297689766409306
SF;7,958905412689857;4,667757774140753;SF;F;147;frederiksberg;3,291147638549104
SF;5,715690724769254;2,4318262306693423;SF;F;766;hedensted;3,2838644940999115
LA;4,603570888182781;1,353637901861252;Liberal Alliance;I;766;hedensted;3,2499329863215287
R;10,871980817591671;7,655606159184558;Radikale;B;159;gladsaxe;3,216374658407114
DF;7,437569956385811;4,233268226571531;Dansk Folkeparti;O;390;vordingborg;3,20430172981428
DF;9,519925425308786;6,334954483102631;Dansk Folkeparti;O;187;vallensbæk;3,1849709422061547
DF;6,087265267476724;2,903036238981391;Dansk Folkeparti;O;779;skive;3,184229028495333
SF;6,611347835837631;3,446428571428571;SF;F;575;vejen;3,1649192644090602
DF;10,166805340940607;7,021107128634011;Dansk Folkeparti;O;326;kalundborg;3,1456982123065966
LA;3,959384379590012;0,8160600620205648;Liberal Alliance;I;760;ringkøbing-skjern;3,143324317569447
SF;13,989187101757098;10,860524632117723;SF;F;175;rødovre;3,1286624696393748
LA;4,643546406222586;1,5305015955634045;Liberal Alliance;I;159;gladsaxe;3,1130448106591815
EL;7,048751486325802;3,9433237271853994;Enhedslisten;Ø;360;lolland;3,1054277591404027
R;12,40138067061144;9,30009169104484;Radikale;B;190;furesø;3,1012889795666005
DF;7,126122608356111;4,02766476810415;Dansk Folkeparti;O;183;ishøj;3,098457840251961
LA;7,486896025922044;4,4036848845375305;Liberal Alliance;I;265;roskilde;3,0832111413845134
SF;9,26959558949423;6,192857142857143;SF;F;430;faaborg-midtfyn;3,076738446637087
DF;6,735661424606845;3,665671641791045;Dansk Folkeparti;O;260;halsnæs;3,0699897828158003
LA;3,9641130058539065;0,8956796628029504;Liberal Alliance;I;201;allerød;3,0684333430509563
SF;8,347673129134641;5,308044806517312;SF;F;169;høje-taastrup;3,039628322617329
LA;3,923444976076555;0,8870718913915459;Liberal Alliance;I;165;albertslund;3,0363730846850094
SF;8,324715615305067;5,323965651834504;SF;F;336;stevns;3,0007499634705628
SF;5,099077553809361;2,099090677317923;SF;F;773;morsø;2,9999868764914384
SF;11,84716954628459;8,858369621486647;SF;F;259;køge;2,9887999247979433
R;7,109058994123483;4,1509282327413;Radikale;B;151;ballerup;2,958130761382183
DF;10,61398132458449;7,66864087377894;Dansk Folkeparti;O;607;fredericia;2,94534045080555
DF;7,834366150941848;4,977434192057699;Dansk Folkeparti;O;615;horsens;2,8569319588841484
S;28,06244838570137;25,219028903627283;Socialdemokratiet;A;706;syddjurs;2,8434194820740863
DF;5,270196812687127;2,426930129860409;Dansk Folkeparti;O;461;odense;2,8432666828267177
LA;3,166629289078269;0,3348214285714285;Liberal Alliance;I;575;vejen;2,8318078605068404
LA;4,624205409447837;1,802123583465922;Liberal Alliance;I;173;lyngby-taarbæk;2,8220818259819156
DF;12,25888440067172;9,446345694060287;Dansk Folkeparti;O;756;ikast-brande;2,8125387066114325
DF;3,854543188333541;1,08776828911907;Dansk Folkeparti;O;173;lyngby-taarbæk;2,7667748992144707
DF;10,129756842220042;7,372872167407568;Dansk Folkeparti;O;306;odsherred;2,756884674812474
SF;10,186205696386102;7,452329230026551;SF;F;479;svendborg;2,7338764663595505
SF;6,564082029574121;3,8524636533348415;SF;F;860;hjørring;2,7116183762392794
DF;6,813914418420793;4,103950207057307;Dansk Folkeparti;O;540;sønderborg;2,709964211363486
DF;5,681818181818182;2,972797460134209;Dansk Folkeparti;O;163;herlev;2,709020721683973
K;8,028698325930987;5,319962607291578;Konservative;C;773;morsø;2,708735718639409
DF;4,022746419545071;1,3311640289897944;Dansk Folkeparti;O;727;odder;2,691582390555277
LA;3,9691698953095376;1,287166134721989;Liberal Alliance;I;657;herning;2,6820037605875484
SF;12,636803257826418;9,99077976817703;SF;F;201;allerød;2,646023489649389
EL;7,305989279888138;4,676393565282455;Enhedslisten;Ø;187;vallensbæk;2,629595714605683
SF;4,632374740587015;2,006100131425596;SF;F;540;sønderborg;2,626274609161419
