afstemningsområde_dagi;afstemningsområde;kommune;afgivne_stemmer;stemmeberettigede;stemmeprocent
701326;Lumsås;Odsherred Kommune;398;550;72,36363636363636
711920;Nørre Boulevard Skolen;Holstebro Kommune;7261;10638;68,25531114871217
748377;Sennels;Thisted Kommune;851;1004;84,7609561752988
710374;Jerne;Esbjerg Kommune;2736;5251;52,104361074081126
704330;Sædding;Esbjerg Kommune;3871;5428;71,31540162122329
702080;Avedøre Skole;Hvidovre Kommune;4011;6470;61,99381761978362
702164;Gørslev;Køge Kommune;764;1075;71,06976744186046
704474;Haraldslund;Aalborg Kommune;4651;7456;62,37929184549357
704520;Andst;Vejen Kommune;759;1112;68,25539568345323
708696;Tikøb Skole;Helsingør Kommune;1004;1408;71,30681818181817
707750;Torsted;Horsens Kommune;3203;4625;69,25405405405407
748854;Tårnborg - Taarnborg Forsamlingshus;Slagelse Kommune;1477;2017;73,22756569162122
708960;Vodskov Kultur og Idrætscenter, Sal;Aalborg Kommune;3989;5855;68,12980358667805
706550;Thyborøn;Lemvig Kommune;1086;1475;73,6271186440678
706902;Marstal;Ærø Kommune;1778;2264;78,53356890459364
707188;Hornbækhallen;Randers Kommune;2630;3338;78,78969442780108
700814;Funder;Silkeborg Kommune;2257;3019;74,75985425637629
709918;Aale;Hedensted Kommune;507;673;75,33432392273403
711204;2. Sundbyvester;Københavns Kommune;6902;11345;60,8373732921992
703986;Søndersø;Furesø Kommune;3413;3972;85,92648539778449
748874;Brårup;Skive Kommune;3851;5575;69,0762331838565
710832;5. Vest;Københavns Kommune;5736;7865;72,9307056579784
706166;2. Nord;Københavns Kommune;5089;8027;63,39852996138035
701822;Øster Hornum;Rebild Kommune;1251;1563;80,03838771593091
718916;Greve Idrætscenter;Greve Kommune;5895;8333;70,74282971318853
711236;Niels Ebbesen;Skanderborg Kommune;4204;5419;77,57888909392877
711122;Fuglebjerg;Næstved Kommune;2321;3594;64,57985531441291
701834;Løgumkloster;Tønder Kommune;1865;2615;71,31931166347992
700876;Strandgårdskolen;Ishøj Kommune;2203;4759;46,29123765496953
711248;Blovstrød;Allerød Kommune;2171;2698;80,46701260192735
711750;Mellervangskolens Idrætshal;Aalborg Kommune;2140;3337;64,12945759664369
706078;Nordenskov;Varde Kommune;756;1079;70,06487488415199
707828;Mern;Vordingborg Kommune;992;1477;67,16316858496954
704764;Jetsmark;Jammerbugt Kommune;3330;4770;69,81132075471697
701380;Københoved;Vejen Kommune;288;380;75,78947368421053
701332;Løgstrup;Viborg Kommune;2176;2763;78,75497647484619
700796;Virklund;Silkeborg Kommune;2462;2962;83,11951384199865
708544;DOKK1, Aarhus C;Aarhus Kommune;6410;8610;74,44831591173055
707466;Kegnæs;Sønderborg Kommune;295;437;67,50572082379863
704750;Thorup;Jammerbugt Kommune;654;982;66,59877800407332
711804;Ringsted Nørretorv;Ringsted Kommune;6436;9571;67,24480200605998
705392;Hjordkær;Aabenraa Kommune;1077;1496;71,99197860962568
708744;Søndermarkskolen;Randers Kommune;4702;6747;69,69023269601304
709008;Korinth;Faaborg-Midtfyn Kommune;1056;1579;66,8777707409753
705072;Tinderhøj;Rødovre Kommune;2884;4542;63,49625715543813
701026;Buerup;Kalundborg Kommune;945;1418;66,6431593794076
748070;Vissenbjerg;Assens Kommune;3395;4711;72,06537890044576
708538;Strandby;Vesthimmerlands Kommune;443;637;69,5447409733124
706536;Lemvig;Lemvig Kommune;4223;5445;77,55739210284665
703474;Skibbild/Nøvling;Herning Kommune;577;758;76,12137203166228
706854;Vemmedrup;Køge Kommune;1578;1977;79,81790591805766
711296;Gødvad;Silkeborg Kommune;4677;6334;73,83959583201768
704024;Skovlunde Skole - Lundebjerg;Ballerup Kommune;4084;6961;58,669731360436714
702322;Gierslev;Kalundborg Kommune;756;1132;66,78445229681978
701002;Tapeten;Ballerup Kommune;2802;4698;59,642401021711365
711744;Karup;Viborg Kommune;1771;2694;65,73867854491463
710188;Røsnæs;Kalundborg Kommune;482;642;75,0778816199377
702334;Reersø;Kalundborg Kommune;384;540;71,11111111111111
704630;Humble;Langeland Kommune;1356;1897;71,48128624143384
701794;Abild;Tønder Kommune;588;801;73,40823970037454
711508;Sydmors;Morsø Kommune;1420;1888;75,21186440677965
705416;Fårvang;Silkeborg Kommune;1049;1828;57,38512035010941
748391;Sæby;Frederikshavn Kommune;6011;8101;74,20071596099247
705646;Ø. Brønderslev;Brønderslev Kommune;886;1265;70,0395256916996
702956;Mønsted;Viborg Kommune;1341;1818;73,76237623762376
704846;3. Syd;Københavns Kommune;8259;11289;73,15971299495084
706120;9. Sydhavn;Københavns Kommune;7088;11862;59,753835778115
703802;Skovvang;Allerød Kommune;3061;4066;75,28283325135267
707460;Nr. Lyndelse;Faaborg-Midtfyn Kommune;2269;3136;72,35331632653062
705564;Ruds Vedby;Sorø Kommune;929;1591;58,390949088623515
701098;Boeslunde - Boeslunde Hallen;Slagelse Kommune;822;1133;72,55075022065314
707620;Vojens;Haderslev Kommune;3724;5890;63,2258064516129
709148;Arnum;Haderslev Kommune;378;634;59,62145110410094
718892;Arenaskolen ved Greve Kultur-Base;Greve Kommune;3633;5826;62,35839340885685
724738;Milestedet;Rødovre Kommune;1047;2377;44,04711821623896
704538;Skodborg;Vejen Kommune;929;1376;67,51453488372093
710488;Bjergby-Mygdal;Hjørring Kommune;1013;1321;76,68433005299016
700760;Karlebo;Fredensborg Kommune;769;1035;74,29951690821255
705128;Rømø;Tønder Kommune;350;493;70,99391480730223
710662;Outrup;Varde Kommune;800;1251;63,94884092725819
703516;Østervrå;Frederikshavn Kommune;1212;1736;69,81566820276498
705582;Ormslev Præstegård;Aarhus Kommune;472;597;79,06197654941374
707896;Rådhuset;Høje-Taastrup Kommune;3174;7261;43,71298719184685
711136;Herlufsholmhallen;Næstved Kommune;3738;5342;69,97379258704605
701184;Tibirke;Gribskov Kommune;1161;1488;78,0241935483871
705640;Dronninglund;Brønderslev Kommune;2932;4185;70,05973715651135
704526;Sdr. Hygum;Vejen Kommune;501;707;70,86280056577087
705030;Ørnhøj;Herning Kommune;606;905;66,96132596685082
711266;Baaring;Middelfart Kommune;1187;1532;77,48041775456919
706962;Grønbjerg Nord;Vejle Kommune;546;781;69,91037131882202
707698;Frederiksværk;Halsnæs Kommune;5258;8868;59,291835814163285
708358;Felsted;Aabenraa Kommune;1194;1733;68,89786497403347
702950;Gistrup Skoles Idrætshal;Aalborg Kommune;3507;4552;77,04305799648506
703708;Drejø;Svendborg Kommune;51;57;89,47368421052632
711228;Tinglev;Aabenraa Kommune;1676;2742;61,12326768781911
707314;Gadstrup;Roskilde Kommune;1444;1818;79,42794279427943
748871;Hem;Skive Kommune;538;715;75,24475524475524
748033;HF og VUC Nord, Godsbanen;Aalborg Kommune;3043;4686;64,93811352966283
702118;Glud;Hedensted Kommune;1314;1866;70,41800643086816
710066;Als;Mariagerfjord Kommune;1465;2007;72,99451918285999
710134;Egtved Syd;Vejle Kommune;2000;2881;69,42034015966678
709664;Guldager;Esbjerg Kommune;895;1228;72,8827361563518
706022;Lindknud;Vejen Kommune;437;627;69,6969696969697
710464;Hirtshals;Hjørring Kommune;2717;4453;61,01504603637997
710346;Herlev Hallerne;Herlev Kommune;5258;6836;76,91632533645407
707284;Roskilde Bymidte;Roskilde Kommune;3469;4804;72,21065778517902
711890;8. Vest;Københavns Kommune;4527;7806;57,99385088393544
703702;Rækker Mølle;Ringkøbing-Skjern Kommune;1339;1929;69,4142042509072
711630;Korsør - Storebæltshallen;Slagelse Kommune;4176;6227;67,0627910711418
705834;Annisse;Gribskov Kommune;1745;2362;73,87806943268417
705194;Slagslunde;Egedal Kommune;1000;1229;81,36696501220506
702812;Lumby Skole;Odense Kommune;704;975;72,2051282051282
704962;5. Øst;Københavns Kommune;5672;7815;72,5783749200256
701812;Gredstedbro;Esbjerg Kommune;1426;2081;68,52474771744353
749359;Ingstrup;Jammerbugt Kommune;364;541;67,28280961182995
710152;Egebjerghallen - Skovvejens Skole Øst;Ballerup Kommune;2806;3871;72,48772926892276
748633;Morud;Nordfyns Kommune;1787;2266;78,86142983230361
707350;Farstruphallen;Aalborg Kommune;1112;1612;68,98263027295285
704274;Nærum;Rudersdal Kommune;3017;4416;68,3197463768116
702878;Bakkegård;Gentofte Kommune;3875;6290;61,60572337042925
706196;5. Nørrebro;Københavns Kommune;5154;7405;69,60162052667117
702830;Paarup Hallen;Odense Kommune;3072;4117;74,61743988341026
708648;Sejerø;Kalundborg Kommune;211;266;79,32330827067669
748638;Særslev;Nordfyns Kommune;858;1222;70,2127659574468
705576;Borum Forsamlingshus;Aarhus Kommune;448;549;81,60291438979964
709464;Højvangen;Horsens Kommune;2407;3125;77,024
701488;Hammershøj;Viborg Kommune;1340;1808;74,11504424778761
