dagi_id;region;navn;nummer;afstemningssted_navn;opstillingskreds_nummer;opstillingskreds_dagi_id;afstemningssted_adresse;resultat_art;ALT;D;DD;DF;EL;K;KD;L;LA;M;R;S;SF;V;største_parti;pop_up
702304;Nordjylland;Stenum;34;Stenum Kultur- og Forsamlingshus;86;403592;Tømmerbyvej 6, 9700 Brønderslev;ForeløbigOptælling;0.0;0.5813953488372093;16.569767441860463;4.3604651162790695;3.488372093023256;11.046511627906977;0.29069767441860467;0.872093023255814;4.069767441860465;0.29069767441860467;1.4534883720930232;23.25581395348837;6.686046511627906;27.03488372093023;Venstre;"<b style='color:#0781DD; font-size:1.5em;margin-bottom: 10px'>Venstre</b><br> blev størst på valgstedet Stenum Kultur- og Forsamlingshus<br><span style='display:inline-block; width:0.3em; height:1.2em; vertical-align:middle;background:#0781DD;'></span><span style='display:inline-block; width:30px; font-size:1em;vertical-align:middle; margin-left: 4px'>V</span><span style='display:inline-block; width:50px; text-align:left; font-size:1em; vertical-align:middle'>27.0%</span><br><span style='display:inline-block; width:0.3em; height:1.2em; vertical-align:middle;background:#F00B2F;'></span><span style='display:inline-block; width:30px; font-size:1em;vertical-align:middle; margin-left: 4px'>S</span><span style='display:inline-block; width:50px; text-align:left; font-size:1em; vertical-align:middle'>23.3%</span><br><span style='display:inline-block; width:0.3em; height:1.2em; vertical-align:middle;background:#0075c9;'></span><span style='display:inline-block; width:30px; font-size:1em;vertical-align:middle; margin-left: 4px'>DD</span><span style='display:inline-block; width:50px; text-align:left; font-size:1em; vertical-align:middle'>16.6%</span><br><span style='display:inline-block; width:0.3em; height:1.2em; vertical-align:middle;background:#06691E;'></span><span style='display:inline-block; width:30px; font-size:1em;vertical-align:middle; margin-left: 4px'>K</span><span style='display:inline-block; width:50px; text-align:left; font-size:1em; vertical-align:middle'>11.0%</span><br><span style='display:inline-block; width:0.3em; height:1.2em; vertical-align:middle;background:#F257A9;'></span><span style='display:inline-block; width:30px; font-size:1em;vertical-align:middle; margin-left: 4px'>SF</span><span style='display:inline-block; width:50px; text-align:left; font-size:1em; vertical-align:middle'>6.7%</span><br><span style='display:inline-block; width:0.3em; height:1.2em; vertical-align:middle;background:#F6BA00;'></span><span style='display:inline-block; width:30px; font-size:1em;vertical-align:middle; margin-left: 4px'>DF</span><span style='display:inline-block; width:50px; text-align:left; font-size:1em; vertical-align:middle'>4.4%</span><br><span style='display:inline-block; width:0.3em; height:1.2em; vertical-align:middle;background:#48CEF3;'></span><span style='display:inline-block; width:30px; font-size:1em;vertical-align:middle; margin-left: 4px'>LA</span><span style='display:inline-block; width:50px; text-align:left; font-size:1em; vertical-align:middle'>4.1%</span><br><span style='display:inline-block; width:0.3em; height:1.2em; vertical-align:middle;background:#FF7400;'></span><span style='display:inline-block; width:30px; font-size:1em;vertical-align:middle; margin-left: 4px'>EL</span><span style='display:inline-block; width:50px; text-align:left; font-size:1em; vertical-align:middle'>3.5%</span><br><span style='display:inline-block; width:0.3em; height:1.2em; vertical-align:middle;background:#662690;'></span><span style='display:inline-block; width:30px; font-size:1em;vertical-align:middle; margin-left: 4px'>R</span><span style='display:inline-block; width:50px; text-align:left; font-size:1em; vertical-align:middle'>1.5%</span><br><span style='display:inline-block; width:0.3em; height:1.2em; vertical-align:middle;background:#494949;'></span><span style='display:inline-block; width:30px; font-size:1em;vertical-align:middle; margin-left: 4px'>L</span><span style='display:inline-block; width:50px; text-align:left; font-size:1em; vertical-align:middle'>0.9%</span><br><span style='display:inline-block; width:0.3em; height:1.2em; vertical-align:middle;background:#494949;'></span><span style='display:inline-block; width:30px; font-size:1em;vertical-align:middle; margin-left: 4px'>D</span><span style='display:inline-block; width:50px; text-align:left; font-size:1em; vertical-align:middle'>0.6%</span><br><span style='display:inline-block; width:0.3em; height:1.2em; vertical-align:middle;background:#8B8474;'></span><span style='display:inline-block; width:30px; font-size:1em;vertical-align:middle; margin-left: 4px'>KD</span><span style='display:inline-block; width:50px; text-align:left; font-size:1em; vertical-align:middle'>0.3%</span><br><span style='display:inline-block; width:0.3em; height:1.2em; vertical-align:middle;background:#911995;'></span><span style='display:inline-block; width:30px; font-size:1em;vertical-align:middle; margin-left: 4px'>M</span><span style='display:inline-block; width:50px; text-align:left; font-size:1em; vertical-align:middle'>0.3%</span><br><span style='display:inline-block; width:0.3em; height:1.2em; vertical-align:middle;background:#3CE63D;'></span><span style='display:inline-block; width:30px; font-size:1em;vertical-align:middle; margin-left: 4px'>ALT</span><span style='display:inline-block; width:50px; text-align:left; font-size:1em; vertical-align:middle'>0.0%</span>"
701540;Nordjylland;Nørhalne;3;Nørhalne Hallen;86;403592;Gustav Zimmersvej 27, Nørhalne, 9430 Vadum;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Nørhalne Hallen<br>"
704006;Nordjylland;Klokkerholm;6;Klokkerholm Hallen;86;403592;Anemonevej 5, Klokkerholm, 9320 Hjallerup;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Klokkerholm Hallen<br>"
700996;Nordjylland;Flauenskjold;4;Flauenskjold Kulturhus;86;403592;Ålborgvej 583, Flauenskjold, 9330 Dronninglund;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Flauenskjold Kulturhus<br>"
706102;Nordjylland;Halvrimmen;9;Halvrimmen Forsamlingshus;86;403592;Banevej 7, Halvrimmen, 9460 Brovst;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Halvrimmen Forsamlingshus<br>"
704764;Nordjylland;Jetsmark;18;Jetsmark Idrætscenter;86;403592;Bredgade 140, 9490 Pandrup;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Jetsmark Idrætscenter<br>"
707638;Nordjylland;Skovsgård;12;Skovsgård Hotel;86;403592;Hovedgaden 26, Skovsgård, 9460 Brovst;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Skovsgård Hotel<br>"
709250;Nordjylland;Tranum;11;Tranum Forsamlinghus;86;403592;Tranhøj 13, Tranum, 9460 Brovst;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Tranum Forsamlinghus<br>"
703310;Nordjylland;Saltum;21;Nolshallen;86;403592;Nolsvej 1, 9493 Saltum;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Nolshallen<br>"
708636;Nordjylland;Asaa;2;Asaa-Hallen;86;403592;Møllehusvej 7, 9340 Asaa;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Asaa-Hallen<br>"
701500;Nordjylland;Biersted;2;Biersted aktivitetscenter;86;403592;Stationsvej 51, Biersted, 9440 Aabybro;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Biersted aktivitetscenter<br>"
749359;Nordjylland;Ingstrup;6;Ingstrup Forsamlingshus;86;403592;Tværgade 11, Ingstrup, 9480 Løkken;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Ingstrup Forsamlingshus<br>"
711858;Nordjylland;Brovst;8;Sport og Kulturcenter;86;403592;Damengvej 2, 9460 Brovst;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Sport og Kulturcenter<br>"
709280;Nordjylland;Aabybro;1;DGI-Huset;86;403592;Jens Møllersvej 3, 9440 Aabybro;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet DGI-Huset<br>"
705640;Nordjylland;Dronninglund;3;Dronninglund Skole;86;403592;Rørholtvej 20, 9330 Dronninglund;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Dronninglund Skole<br>"
703196;Nordjylland;Trekroner;16;Trekroner Landsbycenter;86;403592;Skolevænget 3B, Trekroner, 9690 Fjerritslev;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Trekroner Landsbycenter<br>"
708624;Nordjylland;Agersted;1;Rosendalcenteret;86;403592;Dronninglundvej 8, Agersted, 9330 Dronninglund;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Rosendalcenteret<br>"
749358;Nordjylland;Ørebro;15;Ørebroskolen;86;403592;Ørebrovej 128, Ørebro, 9690 Fjerritslev;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Ørebroskolen<br>"
709628;Nordjylland;Dybvad;10;Dybvadhallen;84;403591;Ørnevej 8, 9352 Dybvad;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Dybvadhallen<br>"
748391;Nordjylland;Sæby;9;Sæby Kulturhus;84;403591;Rådhuspladsen 2, 9300 Sæby;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Sæby Kulturhus<br>"
712132;Nordjylland;Strandby;5;Strandby Borger- og Kulturhus;84;403591;Skolevej 2, 9970 Strandby;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Strandby Borger- og Kulturhus<br>"
710978;Nordjylland;Gærum;8;Gærum Skole;84;403591;Brønderslevvej 99, 9900 Frederikshavn;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Gærum Skole<br>"
702460;Nordjylland;Læsø;15;Læsø Hallen;84;403591;Skolevej 4, Byrum, 9940 Læsø;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Læsø Hallen<br>"
703530;Nordjylland;Hørby;11;Hørby Sognehus;84;403591;Hjørringvej 105, Hørby, 9300 Sæby;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Hørby Sognehus<br>"
705148;Nordjylland;Skagen;1;Skagen Kultur- og Fritidscenter;84;403591;Kirkevej 19, 9990 Skagen;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Skagen Kultur- og Fritidscenter<br>"
711060;Nordjylland;Frederikshavn;6;Arena Nord;84;403591;Harald Nielsens Pl. 9, 9900 Frederikshavn;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Arena Nord<br>"
709634;Nordjylland;Elling;4;Bannerslundhallen;84;403591;Grundtvigsvej 73, Elling, 9900 Frederikshavn;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Bannerslundhallen<br>"
712112;Nordjylland;Volstrup;14;Syvsten Hallen;84;403591;Idræts Alle 3, Syvsten, 9300 Sæby;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Syvsten Hallen<br>"
748393;Nordjylland;Voerså;13;Stensnæsskolen;84;403591;Østkystvejen 314, Voerså, 9300 Sæby;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Stensnæsskolen<br>"
703516;Nordjylland;Østervrå;15;Østervrå Idræts- & Kulturcenter;84;403591;Bredgade 6, 9750 Østervrå;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Østervrå Idræts- & Kulturcenter<br>"
705156;Nordjylland;Jerup;3;Jerup Forsamlingshus;84;403591;Skagensvej 448, 9981 Jerup;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Jerup Forsamlingshus<br>"
748390;Nordjylland;Ravnshøj;7;Ravnshøj Skole;84;403591;Ravnshøjvej 155, Ravnshøj, 9900 Frederikshavn;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Ravnshøj Skole<br>"
705142;Nordjylland;Thorshøj;12;Thorshøj gamle skole;84;403591;Hjørringvej 216A, Thorshøj, 9750 Østervrå;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Thorshøj gamle skole<br>"
748530;Nordjylland;Ålbæk;2;Ålbæk Kulturhus;84;403591;Møldamvej 9B, 9982 Ålbæk;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Ålbæk Kulturhus<br>"
709112;Nordjylland;Vesløs;6;Hannæs Hallen;87;403593;Gl. Feggesundvej 29, 7742 Vesløs;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Hannæs Hallen<br>"
748376;Nordjylland;Hanstholm;4;Hanstholm Hallerne;87;403593;Fyrvej 104, Nytorp, 7730 Hanstholm;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Hanstholm Hallerne<br>"
704712;Nordjylland;Bedsted;8;Bedsted Hallen;87;403593;Ved Stadion 7, 7755 Bedsted Thy;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Bedsted Hallen<br>"
701270;Nordjylland;Klitmøller;15;Ældrecenter Klitrosen;87;403593;Krovej 3, Klitmøller, 7700 Thisted;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Ældrecenter Klitrosen<br>"
705918;Nordjylland;Thisted;1;Munkehallen;87;403593;Munkevej 9E, 7700 Thisted;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Munkehallen<br>"
711514;Nordjylland;Sydvestmors;4;Sydvestmors Kultur og Fritidscenter;87;403593;Næssundvej 325A, V Hvidbjerg, 7960 Karby;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Sydvestmors Kultur og Fritidscenter<br>"
708884;Nordjylland;Frøstrup;10;Hannæs-Østerild Skole, Frøstrup;87;403593;Skolevej 2, 7741 Frøstrup;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Hannæs-Østerild Skole, Frøstrup<br>"
702454;Nordjylland;Midtmors;2;Midtmors Sport;87;403593;Poulsen Dalsvej 12, Galtrup, 7950 Erslev;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Midtmors Sport<br>"
711508;Nordjylland;Sydmors;3;Sydmors Skole og Børnehus;87;403593;Smedebjergevej 61, Vejerslev, 7980 Vils;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Sydmors Skole og Børnehus<br>"
748371;Nordjylland;Snedsted;2;Snedsted Hallen;87;403593;Øster Alle 10, 7752 Snedsted;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Snedsted Hallen<br>"
702944;Nordjylland;Sjørring;5;Sjørring Idræts- og Kulturcenter;87;403593;Hjørnet 2, Sjørring, 7700 Thisted;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Sjørring Idræts- og Kulturcenter<br>"
710282;Nordjylland;Nykøbing;5;Nykøbing Hallen;87;403593;Nygade 29, 7900 Nykøbing M;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Nykøbing Hallen<br>"
748370;Nordjylland;Koldby;12;Koldby Skole;87;403593;Kastanievej 4, Koldby, 7752 Snedsted;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Koldby Skole<br>"
748373;Nordjylland;Østerild;13;Østerild Multicenter;87;403593;Østerild Byvej 7, Østerild, 7700 Thisted;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Østerild Multicenter<br>"
748372;Nordjylland;Vorupør;11;Vorupør gl. skole;87;403593;Vesterhavsgade 13, Vorupør, 7700 Thisted;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Vorupør gl. skole<br>"
748377;Nordjylland;Sennels;14;Nordthy Hallen;87;403593;Sennelsvej 128, Sennels, 7700 Thisted;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Nordthy Hallen<br>"
748374;Nordjylland;Hurup;3;Hurup Hallerne;87;403593;Idrætsvej 7, 7760 Hurup Thy;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Hurup Hallerne<br>"
705906;Nordjylland;Vestervig;7;Aktivitetscenter Vestervig-Agger;87;403593;Teglgårdsvej 5, 7770 Vestervig;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Aktivitetscenter Vestervig-Agger<br>"
705682;Nordjylland;Nordmors;1;Nordmors Hallen;87;403593;Sejersvej 42, Sejerslev, 7900 Nykøbing M;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Nordmors Hallen<br>"
748375;Nordjylland;Nors;9;Nors Hallen;87;403593;Kirkebyvej 17, Nors, 7700 Thisted;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Nors Hallen<br>"
701242;Nordjylland;Lendum;28;Lendum Hallen;85;403584;Enghavevej 4A, Lendum, 9870 Sindal;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Lendum Hallen<br>"
704384;Nordjylland;Hjørring - Nord;15;Højene Hallen;85;403584;Vellingshøjvej 380B, 9800 Hjørring;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Højene Hallen<br>"
701248;Nordjylland;Ugilt;27;Ugilt Forsamlingshus;85;403584;Ugiltvej 304, Linderum, 9870 Sindal;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Ugilt Forsamlingshus<br>"
710458;Nordjylland;Tornby;6;Tornby - Hallen;85;403584;Rævskærvej 12, Tornby, 9850 Hirtshals;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Tornby - Hallen<br>"
710482;Nordjylland;Hundelev;20;Hundelev Friskole;85;403584;Sejlstrupvej 7, Hundelev, 9480 Løkken;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Hundelev Friskole<br>"
710488;Nordjylland;Bjergby-Mygdal;13;Bjergby-Mygdal Hallen;85;403584;Asdalvej 16, Bjergby, 9800 Hjørring;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Bjergby-Mygdal Hallen<br>"
704372;Nordjylland;Astrup;23;Astrup Forsamlingshus;85;403584;Bøgstedvej 307, Astrup, 9800 Hjørring;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Astrup Forsamlingshus<br>"
710436;Nordjylland;Vrejlev-Hæstrup;12;Poulstrup Hallen;85;403584;Poulstrup Skolevej 5, 9760 Vrå;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Poulstrup Hallen<br>"
701230;Nordjylland;Taars;11;Tårshallen;85;403584;Halvej 14, 9830 Tårs;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Tårshallen<br>"
710442;Nordjylland;Hjørring - Centrum;4;Vendelbohus;85;403584;Nørregade 22, 9800 Hjørring;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Vendelbohus<br>"
702860;Nordjylland;Horne;1;Stendyssehallen;85;403584;Stendyssevej 80F, Ø Horne, 9850 Hirtshals;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Stendyssehallen<br>"
708788;Nordjylland;Bindslev;7;Bindslev Sognehus;85;403584;Vesterbro 3, 9881 Bindslev;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Bindslev Sognehus<br>"
702848;Nordjylland;Løkken;21;Løkken Idrætscenter;85;403584;Søndergade 42, 9480 Løkken;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Løkken Idrætscenter<br>"
702854;Nordjylland;Vrå;19;Idrætscenter Vendsyssel;85;403584;Stadionvej 17, 9760 Vrå;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Idrætscenter Vendsyssel<br>"
707320;Nordjylland;Sindal;22;Sindal Hallen;85;403584;Islandsgade 22, 9870 Sindal;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Sindal Hallen<br>"
701236;Nordjylland;Skallerup;14;Skalleruphallen;85;403584;Villerupvej 120, 9800 Hjørring;;;;;;;;;;;;;;;;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst på valgstedet Skalleruphallen<br>"
