dagi_id;navn;nummer;afstemningssted_navn;kommune_id;opstillingskreds_nummer;opstillingskreds_dagi_id;afstemningssted_adresse;region;største_parti;pop_up
700808;Brenderup;10;Brenderup Forsamlingshus;410;45;403613;Brenderupvej 22, Gl Brenderup, 5464 Brenderup Fyn;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Brenderup Forsamlingshus<br>"
703828;Strib;3;Strib Skole - Hallen;410;45;403613;Røjlemosevej 9, Strib, 5500 Middelfart;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Strib Skole - Hallen<br>"
708394;Middelfart Ø;2;Lillebæltshallen - Hal B;410;45;403613;Færøvej 74, 5500 Middelfart;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Lillebæltshallen - Hal B<br>"
748635;Hårslev;7;Hårslev Hallen;480;45;403613;Ejlskovvej 16, Hårslev, 5471 Søndersø;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Hårslev Hallen<br>"
748632;Krogsbølle;3;Sletten Skole, afd. Krogsbølle;480;45;403613;Krogsbølle Bygade 54, Krogsbølle, 5450 Otterup;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Sletten Skole, afd. Krogsbølle<br>"
748631;Veflinge;6;Havrehedskolen, afd. Veflinge;480;45;403613;Vedel Simonsensvej 31, 5474 Veflinge;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Havrehedskolen, afd. Veflinge<br>"
705422;Ejby;8;Ejby Hallen;410;45;403613;Halvej 5, Ejby, 5592 Ejby;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Ejby Hallen<br>"
711266;Baaring;7;Båring Skole - Multisalen;410;45;403613;Byvejen 29, Baaring, 5466 Asperup;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Båring Skole - Multisalen<br>"
748638;Særslev;9;Særslev Forsamlingshus;480;45;403613;Vestergade 22, Særslev, 5471 Søndersø;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Særslev Forsamlingshus<br>"
748637;Søndersø;10;Søndersø Rådhus, Tingstedet;480;45;403613;Vesterled 8, 5471 Søndersø;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Søndersø Rådhus, Tingstedet<br>"
708388;Gelsted;9;Gelsted Skole - Festsalen;410;45;403613;Gelstedvej 29, Gelsted, 5591 Gelsted;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Gelsted Skole - Festsalen<br>"
748636;Otterup;4;Otterup Idrætscenter;480;45;403613;Stadionvej 50, Otterup, 5450 Otterup;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Otterup Idrætscenter<br>"
705440;Hyllehøj;4;Hyllehøjskolen - Hallen;410;45;403613;Hyllehøjvej 19, Kauslunde, 5500 Middelfart;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Hyllehøjskolen - Hallen<br>"
705434;Fjelsted/Harndrup;11;Fjelsted-Harndrup Skole;410;45;403613;Fjellerupvej 26, Fjellerup, 5463 Harndrup;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Fjelsted-Harndrup Skole<br>"
709862;Nørre Aaby;6;Vestfynshallerne;410;45;403613;Idrætsvej 9, 5580 Nørre Aaby;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Vestfynshallerne<br>"
706728;Aulby;5;Aulby gl. Skole - Mødelokale 1;410;45;403613;Vejlbyvej 9, Aulby, 5500 Middelfart;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Aulby gl. Skole - Mødelokale 1<br>"
748634;Klinte;2;Nørreby Forsamlingshus;480;45;403613;Klintevej 52, Nørreby, 5400 Bogense;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Nørreby Forsamlingshus<br>"
748630;Skovløkken;5;Sletten Skole, afd. Skovløkken;480;45;403613;Skovgyden 60, Ørritslev Skov, 5450 Otterup;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Sletten Skole, afd. Skovløkken<br>"
709602;Skærbæk;61;Skærbækcentret, Hal 1;550;51;403619;Storegade 46, 6780 Skærbæk;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Skærbækcentret, Hal 1<br>"
711066;Arrild;18;Arrild Medborgerhus;550;51;403619;Arrild Ferieby 7, 6520 Toftlund;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Arrild Medborgerhus<br>"
701794;Abild;27;Ungdomsskolen;550;51;403619;Ribelandevej 62, Abild, 6270 Tønder;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Ungdomsskolen<br>"
703566;Bedsted;15;Bedsted Friskole;550;51;403619;Syrenvej 3A, Bedsted, 6240 Løgumkloster;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Bedsted Friskole<br>"
707840;Hostrup;29;Jejsing Forsamlingshus;550;51;403619;Møllevænget 12, Jejsing, 6270 Tønder;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Jejsing Forsamlingshus<br>"
707858;Sdr. Sejerslev;7;Emmerlev Sogns Forsamlingshus;550;51;403619;Sejerslevvej 3, S Sejerslev, 6280 Højer;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Emmerlev Sogns Forsamlingshus<br>"
712106;Bredebro;1;Bredebro Forsamlingshus;550;51;403619;Jepsensvej 1, 6261 Bredebro;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Bredebro Forsamlingshus<br>"
711084;Nr. Løgum;14;Konfirmandstuen v/Præstegården;550;51;403619;Nørregade 7, Løgumgårde, 6240 Løgumkloster;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Konfirmandstuen v/Præstegården<br>"
701806;Agerskov;17;Agerskov Hallen, Cafeteriet;550;51;403619;Nørregade 17B, 6534 Agerskov;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Agerskov Hallen, Cafeteriet<br>"
706374;Højer;4;Højer Hus;550;51;403619;Ballumvej 10, 6280 Højer;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Højer Hus<br>"
709616;Døstrup;21;Forsamlingshuset i Døstrup;550;51;403619;Landevejen 18, Døstrup, 6780 Skærbæk;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Forsamlingshuset i Døstrup<br>"
706368;Møgeltønder;8;Møgeltønderhus;550;51;403619;Højervej 31, Møgeltønder, 6270 Tønder;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Møgeltønderhus<br>"
705136;Tønder;25;Tønderhallerne, Hal 4;550;51;403619;Sønderlandevej 4, 6270 Tønder;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Tønderhallerne, Hal 4<br>"
703560;Ballum;2;Ballum Multihus;550;51;403619;Vestervej 10B, Ballum, 6261 Bredebro;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Ballum Multihus<br>"
709676;Øster Højst;16;Øster Højst Forsamlingshus;550;51;403619;Kløvervej 10, Øster Højst, 6240 Løgumkloster;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Øster Højst Forsamlingshus<br>"
705162;Vodder;71;Vodder Idrætscenter;550;51;403619;Sportsvej 3, Frifelt, 6780 Skærbæk;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Vodder Idrætscenter<br>"
701800;Toftlund;23;Manufakturen, Toftlund Musik og Teaterhus;550;51;403619;Søren Jensens Vej 2, 6520 Toftlund;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Manufakturen, Toftlund Musik og Teaterhus<br>"
709622;Branderup;19;Branderup Forsamlingshus;550;51;403619;Sandbjergvej 36, 6535 Branderup J;Syddanmark;;"<b style='color:#494949; font-size:1.5em;margin-bottom: 10px'>nan</b><br> blev størst i Branderup Forsamlingshus<br>"
