kandidat,parti,region,stemmer
"Ludwig Heldt, København",Socialdemokratiet,Østdanmark,201
Henrik Rejnholt Andersen,Moderaterne,Midtjylland,200
"Ulrik Juhl Hansen, Vesterbro",Socialdemokratiet,Østdanmark,200
"Kjeld Jeggesen, Fredericia",Danmarksdemokraterne,Syddanmark,199
"Daniel Juhl, Faaborg-Midtfyn",Danmarksdemokraterne,Syddanmark,198
"Kristina Johansen, Brønderslev",SF,Nordjylland,198
"Brian Winther, Læsø",Danmarksdemokraterne,Nordjylland,198
"Thomas Møller, Thisted",Venstre,Nordjylland,198
"Magnus Dræby, Halsnæs",Radikale,Østdanmark,197
Jan Erik Messmann,Dansk Folkeparti,Østdanmark,196
"Sune Kragelund, Aalborg",Radikale,Nordjylland,196
"Gitte Svendsdatter, Odsherred",Danmarksdemokraterne,Østdanmark,196
"Steen Asgeir Petersen, Thisted",Radikale,Nordjylland,196
"Emely Wind Thomsen, Gråsten",Dansk Folkeparti,Syddanmark,195
"Dina Person, Slagelse",Danmarksdemokraterne,Østdanmark,195
"Lars Green Bach, Ballerup",Radikale,Østdanmark,195
"Annemette Chemnitz Eilers, Brønderslev",Enhedslisten,Nordjylland,193
"Lene Burchardt, Aalborg",Konservative,Nordjylland,192
"Bent Skovgaard Olsen, Skørping",Enhedslisten,Nordjylland,192
"Brian Christensen, Lemvig",Kristendemokraterne,Midtjylland,192
"Jørgen Suhr, Hillerød",Radikale,Østdanmark,190
"Lone Kiilerich, Kerteminde",Dansk Folkeparti,Syddanmark,188
"Morten Pabst Petersen, Middelfart",Enhedslisten,Syddanmark,187
"Jeanette Vedelstjerne, Lyngby-Taarbæk",Moderaterne,Østdanmark,186
Lars Rem,Liberal Alliance,Nordjylland,186
"Martin Grønkjær, Brøndby",Venstre,Østdanmark,186
Kim Gaarsdahl,Liberal Alliance,Nordjylland,184
"Johnny Christensen, Nibe",Dansk Folkeparti,Nordjylland,182
Andreas Lausen,Moderaterne,Syddanmark,180
Thomas Kramer,Moderaterne,Syddanmark,179
"Henning Engelhardt Simonsen, Horsens",Danmarksdemokraterne,Midtjylland,178
"Knud Mogensen, Helsingør",Radikale,Østdanmark,177
Søren Boje Arvidsen,Moderaterne,Midtjylland,177
Elisabeth Bergsøe,J,Østdanmark,176
"Mathias Schwartz Kirkegaard, Greve",Konservative,Østdanmark,175
Hans-Jørgen Jagd,Moderaterne,Syddanmark,175
"Helle Jørgensen, Glostrup",Danmarksdemokraterne,Østdanmark,175
"Nilas Bay-Foged, Aarhus",Alternativet,Midtjylland,174
"Jesper Luthman, Espergærde",Radikale,Østdanmark,174
"Jette Manthey Søgaard, Samsø",Enhedslisten,Midtjylland,173
"Thake Fogh Cordt, Favrskov",Enhedslisten,Midtjylland,173
Markus Hvass,U,Østdanmark,172
"Jan H. Klit, København",Konservative,Østdanmark,171
"Noah B. Bandholm, Vejle",Venstre,Syddanmark,169
"Karina Dammand, Aarhus",R,Midtjylland,169
"Simon Rigét, Gribskov",Alternativet,Østdanmark,169
Hanna-Maria Lyng,Kristendemokraterne,Syddanmark,169
"Palle Eghjort, Vordingborg",Enhedslisten,Østdanmark,168
"Per Henrik Dålfogt, Rebild",Venstre,Nordjylland,168
"Liselotte Katarina Rotfeld, Næstved",Alternativet,Østdanmark,167
"Lars Mejsner, Middelfart",Danmarksdemokraterne,Syddanmark,167
"Jette Julius Kristiansen, Aabenraa",Dansk Folkeparti,Syddanmark,167
"Pia Skourup, Ishøj",Venstre,Østdanmark,166
Jens Chr. Olesen,Kristendemokraterne,Syddanmark,165
"Thor C. Jonasen, Aarhus N",Alternativet,Midtjylland,165
"Arne Hyldgaard, Hjørring",Dansk Folkeparti,Nordjylland,165
"Tonny Stenkilde, Vissenbjerg",Konservative,Syddanmark,164
"Søren Burcharth, København",Radikale,Østdanmark,163
"Søren Mikkelsen, Randers Kommune",Radikale,Midtjylland,162
"Kenny Holm, Sjølund",Radikale,Syddanmark,162
"Jytte Pedersen, Herning",D,Midtjylland,162
"Thomas Anker, København",Alternativet,Østdanmark,161
"Kasper Pagh, Horsens",Konservative,Midtjylland,161
Mette Strange Hagen,L,Østdanmark,160
"Tenna Duch Schaldemose, Aarhus C",Alternativet,Midtjylland,159
"Christina Eilers, Brønderslev",Enhedslisten,Nordjylland,159
Rikke Galina Frydensbjerg Carlsson,P,Østdanmark,158
"Hans Biering Fonsbøl, Vejle",Alternativet,Syddanmark,158
"Thomas Storm, Tårs",Dansk Folkeparti,Nordjylland,157
"Mai Jensen, Brønderslev",Enhedslisten,Nordjylland,157
"Claus Græsholm, Hedensted",Enhedslisten,Midtjylland,157
Nicolai Otto Mønsted Hermansen,L,Østdanmark,155
"Harald Viuff, København SV",Enhedslisten,Østdanmark,155
"Lasse Mejer Petersen, Brønderslev",Enhedslisten,Nordjylland,155
"Kasper Cederholm, København",Danmarksdemokraterne,Østdanmark,154
"Rasmus Abrahamsen, Greve",Moderaterne,Østdanmark,154
Allan Sørensen,Moderaterne,Syddanmark,153
"Anders Rydahl-Jensen, Hjørring",Venstre,Nordjylland,153
"Mette Bang Larsen, Frederiksberg",Enhedslisten,Østdanmark,151
"Cille Egholm, København",Venstre,Østdanmark,150
"Kristina Kongsted, Helsingør",Venstre,Østdanmark,150
"Torben Conrad, København N",Enhedslisten,Østdanmark,150
Niels Chresten Andersen,Kristendemokraterne,Østdanmark,149
"Frederik Haugstrup Jacobsen, Østerbro",Socialdemokratiet,Østdanmark,148
"Pernille Kjul Knudsen, Hjørring",Konservative,Nordjylland,147
"Bo Nielsen, Holsted",Alternativet,Syddanmark,146
"René Galsgaard, Holstebro",D,Midtjylland,145
"Rasmus Petersen, Frederikssund",Enhedslisten,Østdanmark,145
"Per Fabricius Ramsing, København",Alternativet,Østdanmark,145
"Jens Lyhne, Thisted Kommune",SF,Nordjylland,144
"Jan Kjærgaard, Faxe",Enhedslisten,Østdanmark,143
"Ib Østenkær, Hjørring",Dansk Folkeparti,Nordjylland,141
"Emil Karlebjerg, Aarhus N",Konservative,Midtjylland,137
"Morten Bak Josefsen, Aarhus",Venstre,Midtjylland,135
"Kim Ries Jensen, Lemvig",Enhedslisten,Midtjylland,134
Christian Bjerre,Kristendemokraterne,Syddanmark,134
"Ken Guldberg Jespersen, Kerteminde",Venstre,Syddanmark,134
"Karsten Kjærgaard, Vesthimmerland",Radikale,Nordjylland,133
"Søren B. Andersen, Aalborg",Enhedslisten,Nordjylland,132
"Arne Otto Ditlevsen, Kerteminde",Danmarksdemokraterne,Syddanmark,131
"Mads Damgaard Mortensen, Hedensted",Alternativet,Midtjylland,131
"Janus Balleby Rønbach, Brøndby",Enhedslisten,Østdanmark,131
Andreas Simonsen Sinding,Moderaterne,Syddanmark,131
Finn Andersen,Kristendemokraterne,Østdanmark,130
"Martin Ludvigsen, Kerteminde",Danmarksdemokraterne,Syddanmark,130
"Peter Roswall, Stevns",Enhedslisten,Østdanmark,129
"Michael Monberg, Køge",Alternativet,Østdanmark,128
"Frede Hansen, Aalborg",Radikale,Nordjylland,128
Kasper-Peder Von Bach,Moderaterne,Syddanmark,127
Tania Lange,L,Nordjylland,127
"Ronald Kongstad, Fredericia",Danmarksdemokraterne,Syddanmark,127
"Rico Djernis, København",Konservative,Østdanmark,125
"Morten Ballegaard Sørensen, Randers",Konservative,Midtjylland,125
Axel Ljungquist,Kristendemokraterne,Østdanmark,125
"Henning Bo Madsen, Ringkøbing",Enhedslisten,Midtjylland,124
"Jan Buus Larsen, Randers",Venstre,Midtjylland,124
"Claus Rasmussen, Albertslund",Venstre,Østdanmark,124
Kristian Tørning,Dansk Folkeparti,Østdanmark,122
"Michael Hemming Nielsen, Gribskov",Enhedslisten,Østdanmark,122
Laura Jensen,Moderaterne,Nordjylland,122
"Søs Haugaard, København",Radikale,Østdanmark,122
Sabine Lind,L,Østdanmark,121
"Dorthe Kerschus, Brønderslev",Radikale,Nordjylland,121
"Per Guldbrandsen, Århus",Enhedslisten,Midtjylland,121
Johnni Winther,Moderaterne,Nordjylland,121
"Hassan Alouch, Hjørring",Radikale,Nordjylland,121
"Gert Biilmann, Herlev",Venstre,Østdanmark,119
"René Arnt, Taastrup",Moderaterne,Østdanmark,119
"Egon Bo, Slagelse",Konservative,Østdanmark,119
"Frank Hedegaard, København",SF,Østdanmark,119
"Bodil Lilliegaard, Rudkøbing",Dansk Folkeparti,Syddanmark,118
"Marc Dyhr Seremet-Bangert, Vojens",Liberal Alliance,Syddanmark,118
"Nina Skaarup, Måløv",Venstre,Østdanmark,118
"Nana L. Buttenschøn, Glostrup",Alternativet,Østdanmark,117
"Rosa Mørch Jørgensen, København S",R,Østdanmark,117
"Claus Wachmann, Gladsaxe",Radikale,Østdanmark,115
"Jens Martin Fjordbak, Frederikshavn",Konservative,Nordjylland,115
Poul Harald Holm,Kristendemokraterne,Syddanmark,115
Henrik Viholm,Liberal Alliance,Nordjylland,113
"Jensi Tharsika Thangarajah, Aarhus",Dansk Folkeparti,Midtjylland,113
"Jan Carlsen, Roskilde",Moderaterne,Østdanmark,111
Nikolaj C. Andersen,Moderaterne,Nordjylland,111
"Søren Rasmussen, Vangede",Enhedslisten,Østdanmark,111
"Magnus Rothmann, Aalborg",Kristendemokraterne,Nordjylland,110
"Therese Skaarup, Gentofte",Danmarksdemokraterne,Østdanmark,110
Jens Winther,Moderaterne,Midtjylland,109
Michel Thrysøe,Liberal Alliance,Nordjylland,109
Lasse Larsen,J,Østdanmark,109
"Lars Findsen, Nyborg",Danmarksdemokraterne,Syddanmark,109
Margit Lund-Cramer,Kristendemokraterne,Syddanmark,108
Rikke Cramer Christiansen,Y,Midtjylland,108
"Preben Rasmussen, Aabenraa",Enhedslisten,Syddanmark,108
"Heidi Rud, Herning",R,Midtjylland,108
"Birgit Gedionsen, Solrød",Enhedslisten,Østdanmark,107
Ivar Nørlund,Moderaterne,Syddanmark,107
Rasmus Tymm,Liberal Alliance,Nordjylland,107
Paw Rytter,Moderaterne,Nordjylland,105
"Jørgen Bjerregaard, Brovst",Kristendemokraterne,Nordjylland,105
"Simon Overby Kristensen, Horsens",Kristendemokraterne,Midtjylland,105
Baltser Andersen,R,Syddanmark,105
Gert Løfgren,Dansk Folkeparti,Østdanmark,104
"Kent Larsen, Nyborg",Dansk Folkeparti,Syddanmark,102
"Birthe Oesterling Andersen, Løjt Kirkeby",Enhedslisten,Syddanmark,102
"Andreas Müller, Sindal",Kristendemokraterne,Nordjylland,101
"Jensa Ottosdóttir, Randers",Kristendemokraterne,Midtjylland,99
Karl Heinz Tønder,Kristendemokraterne,Syddanmark,98
Niclas Aarestrup,Kristendemokraterne,Syddanmark,98
Frederik Blicher Pedersen,Liberal Alliance,Nordjylland,98
Carsten Bardy Aaen,L,Østdanmark,97
Jørgen Steen Hansen,Moderaterne,Syddanmark,96
Jesper Riis Hansen,L,Nordjylland,96
"Klara Poder, Rødovre",R,Østdanmark,95
"Knud Rasmussen, Solrød",N,Østdanmark,95
Rikke Kirstine Lomholt,Moderaterne,Nordjylland,95
"Dan Kiving, Sorø",Enhedslisten,Østdanmark,93
Bjarne Block,Moderaterne,Syddanmark,93
"Flemming Agerskov, Frederikshavn",Konservative,Nordjylland,92
Eva Guldfred,Kristendemokraterne,Østdanmark,92
"Teddy Stafsen, Svendborg",Radikale,Syddanmark,91
"Gorm Simonsen, Dronninglund",Radikale,Nordjylland,91
"Kim B. Nielsen, Roskilde",Danmarksdemokraterne,Østdanmark,91
"Natascha Strüwing, Tønder",Dansk Folkeparti,Syddanmark,90
"Martin Schepelern, København",Radikale,Østdanmark,90
"Morten Hjort, Stege",Enhedslisten,Østdanmark,89
"Emin Bülent Kaya, Køge",Moderaterne,Østdanmark,88
Anders Friis Knudsen,Kristendemokraterne,Syddanmark,87
"Marie Wandel, Frederikshavn",Radikale,Nordjylland,85
"Niels Jessen, Esbjerg",E,Syddanmark,85
"Kurt Pii, Frederiksberg",Moderaterne,Østdanmark,84
"Henning B. Mikkelsen, Lemvig",Kristendemokraterne,Midtjylland,83
"Frank Østergaard, Jammerbugt Kommune",SF,Nordjylland,83
"Torben Thrue, Randers",Danmarksdemokraterne,Midtjylland,83
Henrik Vendelbo Petersen,U,Østdanmark,82
"Sven-Erik Jørgensen, Hinnerup",Kristendemokraterne,Midtjylland,81
Michaell Ravn,J,Østdanmark,81
Michael Lund Markussen,Kristendemokraterne,Syddanmark,80
"Klaus Kjelstrup, Køge",Danmarksdemokraterne,Østdanmark,80
"Alina Protsyk, København",Radikale,Østdanmark,80
"Dirk Müller, Bogense",Enhedslisten,Syddanmark,80
"Stig Ekman, Bispebjerg",Socialdemokratiet,Østdanmark,80
"Martin Kjærulff, København NV",Alternativet,Østdanmark,79
"Jan Sylvest Andersen, Aarhus",R,Midtjylland,79
"Lars Dohn, Herning",Enhedslisten,Midtjylland,78
"Kenneth J. Grinderslev, Skive",Konservative,Midtjylland,78
"Lartey Lawson, København",Radikale,Østdanmark,77
Sine Bilfeldt,P,Østdanmark,73
"Erik Moesby Nordstrøm, Furesø",Moderaterne,Østdanmark,72
Ole J. J. Jensen,Moderaterne,Syddanmark,71
"Børge Bondeven Frederiksen, Skagen",Enhedslisten,Nordjylland,71
"John Ørtoft, Vejgaard",Enhedslisten,Nordjylland,69
Johannes Latter,Kristendemokraterne,Syddanmark,68
"Bjarne B. Madsen, Frederikshavn",Konservative,Nordjylland,65
"John Søndergaard, Frederikshavn",Enhedslisten,Nordjylland,64
"Ove Abildgaard, Beder",Enhedslisten,Midtjylland,64
Thomas Christiansen,Liberal Alliance,Nordjylland,63
"Hans Jørgen Nygaard, Frederikshavn",Radikale,Nordjylland,63
Auli Romanow,Dansk Folkeparti,Østdanmark,62
"Gert Petersen, Roskilde",Enhedslisten,Østdanmark,62
Anne V. Lauritsen,L,Nordjylland,62
"Njord Fomsgaard Kvistgaard, Randers C",Socialdemokratiet,Midtjylland,62
"Claus Carlsen, Roskilde",R,Østdanmark,61
"Marianne Jäger, Nørre Højrup",Dansk Folkeparti,Syddanmark,60
Britta Kristensen,Kristendemokraterne,Østdanmark,59
"Tommy Christensen, Struer",R,Midtjylland,59
Simon Lavdal,Kristendemokraterne,Syddanmark,59
"Stefan Göttler, Svendborg",Radikale,Syddanmark,58
Ida Lildballe,Moderaterne,Syddanmark,58
"Annegrete Jensen, Jammerbugt",Radikale,Nordjylland,57
"Bodil Helbo, Odense C",Alternativet,Syddanmark,56
"Benny Hansen, Ishøj",N,Østdanmark,55
"Mathias Skrydstrup Kristensen, Aalborg",Enhedslisten,Nordjylland,55
"Per Møller Jacobsen, Herning",R,Midtjylland,54
"Charlotte Greibe, Hobro",Kristendemokraterne,Nordjylland,53
Imad Daher,L,Østdanmark,52
"Sie Grubbe, Ry",R,Midtjylland,51
Steen Bjerregaard Jørgensen,Kristendemokraterne,Syddanmark,51
"Kim Lykkegaard, København N",R,Østdanmark,50
"Pernille Andreasen, Arentsminde",Enhedslisten,Nordjylland,50
"Charlotte Saabye Sørensen, København N",Radikale,Østdanmark,49
"Arne S. Hansen, Tårnby",Danmarksdemokraterne,Østdanmark,48
Anita Storgaard,L,Nordjylland,48
"Jacob Conrad, Aars",Enhedslisten,Nordjylland,48
David Gerschwald,Dansk Folkeparti,Østdanmark,47
Johnnie Gregersen,Kristendemokraterne,Østdanmark,47
Tobias Christensen,R,Syddanmark,47
"Niels Kristian Pilgaard Jensen, Jammerbugt",Radikale,Nordjylland,46
"Rune Jørgensen, København Ø",R,Østdanmark,46
"Jesper Veiby, Aalborg",Kristendemokraterne,Nordjylland,45
Preben Thorsen,Moderaterne,Syddanmark,45
Kurt Pedersen,Kristendemokraterne,Østdanmark,44
"Niels Bjarne Lund, Bogense",Enhedslisten,Syddanmark,44
Allan Øster Steensen,Dansk Folkeparti,Østdanmark,44
"Edvard Aas, Furesø",Danmarksdemokraterne,Østdanmark,44
"Kristian Flindt Dyrkjøb, København V",Alternativet,Østdanmark,44
Bjarne Vium Mikkelsen,Kristendemokraterne,Syddanmark,43
"Åge Skovrind, Roskilde",Enhedslisten,Østdanmark,42
"Daniel  Svendsen, Hjørring",Radikale,Nordjylland,42
Abaz Sabani,L,Østdanmark,41
"Inge Høgh, Silkeborg",R,Midtjylland,41
"Maiken Huglstad Pedersen, Esbjerg",E,Syddanmark,40
"Dennis Munk Lionett, Randers",Enhedslisten,Midtjylland,40
"Per Nielsen, Aarhus",R,Midtjylland,40
Karl Peter Warming,Moderaterne,Syddanmark,40
"Niklas Svenningsen, Nivå",R,Østdanmark,39
"Mariann Hansen, Greve",Alternativet,Østdanmark,39
Christian Træholt,R,Syddanmark,39
Kent Budolfsen,Liberal Alliance,Nordjylland,39
Ronny Van Tieu,Liberal Alliance,Nordjylland,39
Kim W. Bilfeldt,P,Østdanmark,38
"Majbrit P. Rothmann, Aalborg",Kristendemokraterne,Nordjylland,38
"Jørgen Olsson, Birkelse",Enhedslisten,Nordjylland,37
Jesper Morville,J,Østdanmark,37
"Bachir Belmajdoub, København",N,Østdanmark,37
"Nils-Erik Thorborg Mulvad, Randers",Kristendemokraterne,Midtjylland,36
"Andreas Raben, København",Moderaterne,Østdanmark,36
"Katrine Ehlern, København",N,Østdanmark,34
Mathias Rothausen,R,Syddanmark,34
Asger Trier,L,Nordjylland,33
"Leif Krøyer, Søvind",D,Midtjylland,33
Lindhardt Højen,L,Nordjylland,33
Troels Lillegaard,R,Syddanmark,33
Katrine Johanne Ørnebjerg Larsen,Y,Midtjylland,32
"Johannes Jacobsen, Køge",Enhedslisten,Østdanmark,32
Thue Uhre Lauridsen,Moderaterne,Syddanmark,31
"Theis Magle, Hjørring",Radikale,Nordjylland,31
"Hans Jørgen Kristensen, Kallerup",Radikale,Nordjylland,30
Jimmy Abel Nielsen,Liberal Alliance,Nordjylland,30
Joakim Viborg Olesen,Kristendemokraterne,Syddanmark,29
"Ravin Gomei, Roskilde",R,Østdanmark,28
Flemming Jahns,Moderaterne,Syddanmark,28
"Brian T. Andersen, Herning",Kristendemokraterne,Midtjylland,27
Thomas Heuniche,Liberal Alliance,Nordjylland,27
"Johannes Pilgaard, Struer",R,Midtjylland,26
"Eva Terndrup, Lindelse",Dansk Folkeparti,Syddanmark,26
Angus Skov Axelsen,R,Syddanmark,26
"Sigurd Andersen, Nørresundby",Venstre,Nordjylland,25
"Jakup F. Jacobsen, Fjerritslev",Kristendemokraterne,Nordjylland,25
Søren Pagh Albers,L,Nordjylland,24
"Steffen Søgaard, Randers",SF,Midtjylland,23
Mogens Riis Pedersen,Kristendemokraterne,Østdanmark,22
"Jacob Olesen, Herning",R,Midtjylland,22
Hans-Henning Terp-Hansen,Liberal Alliance,Nordjylland,22
"Magnus Mørk, Hårlev",R,Østdanmark,20
Lars Emanuel,P,Østdanmark,20
"Henrik Stamer Hedin, Ry",R,Midtjylland,20
Ditte Sieling Emanuel,L,Østdanmark,20
Hans Nielsen,P,Østdanmark,19
"Anders Kristian Lyng, Hobro",Kristendemokraterne,Nordjylland,19
Lise-Lotte Dahlgaard Mortensen,L,Østdanmark,17
Marthin Stadsvold,L,Nordjylland,16
Don Winther,L,Østdanmark,14
Frank Jørgensen,L,Nordjylland,11
Ove Birk,L,Nordjylland,10
B. Tscherning,P,Østdanmark,10
"Eva Fotland, København",N,Østdanmark,6
