kandidat,parti,region,stemmer
"Karoline Bergkvist Søgaard, Djursland",Socialdemokratiet,Midtjylland,1961
"Rasmus Lund-Nielsen, Gladsaxe",Moderaterne,Østdanmark,1955
"Lene Aalestrup, Rebild",Konservative,Nordjylland,1955
"Jens Wistoft, Aabenraa",Venstre,Syddanmark,1954
"Michael Schmidt, Halsnæs",Socialdemokratiet,Østdanmark,1953
"Tormod Olsen, København",Enhedslisten,Østdanmark,1921
"Anne Honoré Østergaard, Aalborg Kommune",Venstre,Nordjylland,1917
"Sebastian Sandgaard, Herning",Venstre,Midtjylland,1913
"Charlotte Bagge, Stege",Moderaterne,Østdanmark,1907
"Jette Leth Buhl, Næstved",SF,Østdanmark,1874
"Brian Høier, Tårnby",Socialdemokratiet,Østdanmark,1867
"Jakob Dyrman, Vesthimmerland",Venstre,Nordjylland,1854
"Betina Dich Skipper, Assens",Venstre,Syddanmark,1854
"Gitte Bundgaard, Rebild",Danmarksdemokraterne,Nordjylland,1850
"Simon Dahl Verner, Esbjerg",SF,Syddanmark,1849
"Susanne Eilersen, Fredericia",Dansk Folkeparti,Syddanmark,1834
"Stine Østlund, Hillerød",Konservative,Østdanmark,1806
"Henrik Engedahl, Ikast-Brande",Venstre,Midtjylland,1802
"Lone Kjær Hein, Holstebro Kommune",Radikale,Midtjylland,1787
"Iben Sønderup, Aarhus",Socialdemokratiet,Midtjylland,1753
"Cecilie Roed Schultz, Fredericia",Enhedslisten,Syddanmark,1750
"Bettina Eriksen, Kerteminde",Liberal Alliance,Syddanmark,1750
"Bente Bendix, Varde",Venstre,Syddanmark,1749
"Jørgen Johansen, Allerød",Konservative,Østdanmark,1739
"Kenneth Nielsen, Slagelse",Socialdemokratiet,Østdanmark,1737
"Christian Nyby Bergholdt, Varde",Liberal Alliance,Syddanmark,1735
"Ulla Koman, Esbjerg",Socialdemokratiet,Syddanmark,1733
"Philip Vivet, Herning Kommune",Radikale,Midtjylland,1710
