kandidat,parti,stemmer
Lindhardt Højen,L,8
Thomas Heuniche,Liberal Alliance,7
Hans-Henning Terp-Hansen,Liberal Alliance,7
"Jakup F. Jacobsen, Fjerritslev",Kristendemokraterne,7
Ove Birk,L,7
"Sigurd Andersen, Nørresundby",Venstre,6
"Dorthe Kerschus, Brønderslev",Radikale,6
"Anders Kristian Lyng, Hobro",Kristendemokraterne,6
"John Ørtoft, Vejgaard",Enhedslisten,5
"Niels Kristian Pilgaard Jensen, Jammerbugt",Radikale,5
Søren Pagh Albers,L,4
"Mathias Skrydstrup Kristensen, Aalborg",Enhedslisten,4
"Frank Østergaard, Jammerbugt Kommune",SF,4
Jimmy Abel Nielsen,Liberal Alliance,3
Frank Jørgensen,L,2
"Jesper Veiby, Aalborg",Kristendemokraterne,1
"Jørgen Olsson, Birkelse",Enhedslisten,1
