kandidat,parti,stemmer
"Lisbeth Kjærholt, Høje-Taastrup",Venstre,578
"Annie Hagel, Gilleleje",Enhedslisten,573
"Palle Kristiansen, Slagelse",Danmarksdemokraterne,571
"Henrik Jacobsen, Lolland",Konservative,571
"Jens-Kristian Lütken, København",Venstre,569
"Phillip Bergenhammer Østergaard, Tårnby",SF,567
"Robert Mørck, Furesø",Liberal Alliance,561
"Dorthe Beck-Nyling, København",Moderaterne,561
"Rebecca Plomin, Gladsaxe",Konservative,553
Bjarne Hartung Kirkegaard,Kristendemokraterne,551
"Ken Patrick Petersson, Taastrup",SF,549
"Dina Person, Slagelse",Danmarksdemokraterne,543
"Søren Kragh, Sorø",Liberal Alliance,540
"Julie Herdal Molbech, København",Radikale,539
"Knud Mogensen, Helsingør",Radikale,534
John Vind,Dansk Folkeparti,534
"Yurdal Cicek, Næstved",Alternativet,532
Githa Nelander,Dansk Folkeparti,529
"Kim Mandix, København",Radikale,527
"Jan Erik Abildskov Nielsen, Lolland",Enhedslisten,523
Anette Skafte,Dansk Folkeparti,519
"Dickte Noël Toft, Hørsholm",Socialdemokratiet,516
"Gunnar Sumberg, Gladsaxe",Venstre,516
"Louise Theilade Thomsen, København",Venstre,511
"Steen Tofteng, Gribskov",Liberal Alliance,510
Flemming Blicher,U,507
"Astrid Barslund, Lejre",Danmarksdemokraterne,506
"Kim Drejer Nielsen, Rødovre",Konservative,505
"Poul Reher Jensen, Gladsaxe",SF,497
"Morten Bille, Ullerød",Venstre,497
"Maibritt Nielsen, Frederikssund",Danmarksdemokraterne,494
"Arne Würgler, Gribskov",Enhedslisten,488
"Merete Them Kjølholm, Allerød",Radikale,480
"Nanna Høyrup, Hundested",Alternativet,480
"Lisbeth Dam Larsen, Dragør",Moderaterne,477
"Benny Bindslev, Tårnby",Danmarksdemokraterne,471
"Torben Kjeldsen, Rørvig",SF,467
"Jan Kjældgaard, Farum",SF,466
"Gert Petersen, Roskilde",Enhedslisten,466
"Bjørn Bjerrehøj, Tårnby",Radikale,464
"Torben Conrad, København N",Enhedslisten,463
"Deniz Kücükavci, Herlev",Moderaterne,461
"Rasmus Petersen, Frederikssund",Enhedslisten,454
Cæcilia Nilsson,Kristendemokraterne,452
"Luise Bak, Vallensbæk",Enhedslisten,449
Søsser Grønnegård,Dansk Folkeparti,448
Allan Blak,Dansk Folkeparti,447
"Frederik Germann, Halsnæs",Konservative,446
"Marianne Fritzen, Odsherred",Radikale,445
"Claus Neergaard, Næstved",Konservative,443
"Kristina Kongsted, Helsingør",Venstre,436
"Vilhelm Møller, Faxe",Konservative,435
Nickolai Hamann,Dansk Folkeparti,427
"Michael Rosenmark, Ringsted",Danmarksdemokraterne,422
"Edris Qasimi, Sorø",Radikale,420
"Patrick Lehto, Tårnby",Konservative,419
"Torben Skytte Raahede, København",Venstre,416
"Bjarne Kongsted, Holbæk",Venstre,413
"Claus Buch, København NV",Venstre,409
"Egon Bo, Slagelse",Konservative,408
"Ida Busk, København",Konservative,406
"Alice Rudkjær, Rudersdal",Socialdemokratiet,403
"Jonas Nørgaard, Odsherred",Danmarksdemokraterne,401
"Dorte Holm Hansen, Odsherred",Venstre,397
"Helle Nørregaard, Vordingborg",Enhedslisten,395
Lars Thomsen,L,389
"Emilie Borch Sloth, Glostrup",Radikale,388
"Lars Green Bach, Ballerup",Radikale,386
"Jeanne Blum, Ringsted",Danmarksdemokraterne,385
"Rasmus Meggele Stein, Stevns",Moderaterne,375
"Peter L. Sørensen, Gribskov",Radikale,375
"Malene Holm, København",N,371
"Claus Rehfeld, København",Radikale,371
"Christian Wikström, Hørsholm",Venstre,368
"Helle Barth, Dragør",Venstre,358
"Klaus Kjelstrup, Køge",Danmarksdemokraterne,354
"Harald Viuff, København SV",Enhedslisten,351
"Mille Koch Rømer, Østerbro",Socialdemokratiet,351
Kasper Ibsen,T,350
"Klavs A. Holm, Hellerup",Moderaterne,344
"Susanne Damsgaard, Gladsaxe",Danmarksdemokraterne,342
"Gert Jensen, Glostrup",Venstre,340
"Ludwig Heldt, København",Socialdemokratiet,339
"Ulrik Juhl Hansen, Vesterbro",Socialdemokratiet,334
Jesper Housgaard,Kristendemokraterne,332
"Gitte Kjær-Westermann, Lyngby-Taarbæk",Radikale,331
"Cille Egholm, København",Venstre,331
"Kim Larsen, Kastrup",Enhedslisten,328
"Kim Pagels, Solrød",Radikale,327
Gert Løfgren,Dansk Folkeparti,324
"Michael Hendriksen, Bornholm",Danmarksdemokraterne,322
"Niels Erik Danielsen, Høng",Enhedslisten,320
Lave Knud Broch,J,320
"Eik Dahl Bidstrup, Dragør",Liberal Alliance,319
"Paul Thomsen, Farum",Venstre,319
"Jesper Luthman, Espergærde",Radikale,316
"Jess Eiberg Hansen, Greve",Konservative,315
"Mads Søe Daugaard, Kalundborg",Moderaterne,313
"Jane Christensen, Kalundborg",Konservative,312
Martin Rosbjørn,Dansk Folkeparti,312
