kandidat,parti,stemmer
"Jensi Tharsika Thangarajah, Aarhus",Dansk Folkeparti,130
"Henning Bo Madsen, Ringkøbing",Enhedslisten,127
"Per Guldbrandsen, Århus",Enhedslisten,126
Rikke Cramer Christiansen,Y,125
"Heidi Rud, Herning",R,124
Jens Winther,Moderaterne,113
"Simon Overby Kristensen, Horsens",Kristendemokraterne,111
"Nils-Erik Thorborg Mulvad, Randers",Kristendemokraterne,103
"Sven-Erik Jørgensen, Hinnerup",Kristendemokraterne,96
"Jan Sylvest Andersen, Aarhus",R,87
"Henning B. Mikkelsen, Lemvig",Kristendemokraterne,85
"Lars Dohn, Herning",Enhedslisten,83
"Kenneth J. Grinderslev, Skive",Konservative,79
"Ove Abildgaard, Beder",Enhedslisten,67
"Tommy Christensen, Struer",R,66
"Brian T. Andersen, Herning",Kristendemokraterne,57
"Per Møller Jacobsen, Herning",R,57
"Sie Grubbe, Ry",R,56
Katrine Johanne Ørnebjerg Larsen,Y,42
"Per Nielsen, Aarhus",R,42
"Inge Høgh, Silkeborg",R,41
"Leif Krøyer, Søvind",D,41
"Johannes Pilgaard, Struer",R,32
"Jacob Olesen, Herning",R,25
"Henrik Stamer Hedin, Ry",R,20
