kandidat,parti,stemmer
"Maiken Huglstad Pedersen, Esbjerg",E,5
Mathias Rothausen,R,4
Angus Skov Axelsen,R,4
"Kim Jørstad, Kerteminde",SF,4
"Marianne Mix, Svendborg",Dansk Folkeparti,4
"Bodil Helbo, Odense C",Alternativet,3
"Teddy Stafsen, Svendborg",Radikale,3
"Niels Bjarne Lund, Bogense",Enhedslisten,3
Tobias Christensen,R,2
Flemming Jahns,Moderaterne,2
