kommune,kommune_dagi_id,frigivelsestidspunkt,opdateringstidspunkt,valgforbund_navn,kandidatliste_id,valgforbund_partier,valgforbund_partibogstav
Horsens,389179,2025-10-06 10:14:44,2025-10-06 10:14:44,"M, V, Æ","['0751e31b-e0c0-449e-9207-cb4f23ce86f5', 'c5c40587-6a02-405b-9d4e-cc5d9dcd24d4', 'e5b22f90-f26e-4e45-947b-8ee0c8cb6ea9']","['Venstre, Danmarks Liberale Parti', 'Danmarksdemokraterne - Inger Støjberg', 'Moderaterne']","['V', 'Æ', 'M']"
Horsens,389179,2025-10-06 10:14:44,2025-10-06 10:14:44,"A, B, F, Ø","['4f17b030-31a9-4cc3-abb5-48d161bfffe2', '80c73e0b-b16a-41d0-a1ec-0fd220dfc929', 'de9f713a-7910-4793-bb5c-a0d80c1ce515', 'e467f862-14c8-4c3b-babf-92bfffe35ac5']","['SF - Socialistisk Folkeparti', 'Enhedslisten - De Rød-Grønne', 'Det Radikale Venstre', 'Socialdemokratiet']","['F', 'Ø', 'B', 'A']"
Horsens,389179,2025-10-06 10:14:44,2025-10-06 10:14:44,"C, D, I","['520e35e4-5d41-4350-901e-5bd6f23b0bba', 'b2532b74-35c3-4773-ad8e-a605b61cf034', 'f5647fb6-12c1-491f-9009-842145a03b09']","['Nye Borgerlige', 'Liberal Alliance', 'Det Konservative Folkeparti']","['D', 'I', 'C']"
Lyngby-Taarbæk,389115,2025-10-06 11:58:53,2025-10-06 11:58:53,VF3,"['04c17120-9454-422f-abbd-5d1bb8700ff6', '289c9109-78e8-406d-bc76-03e648542399', '31ad5903-76cc-4e57-b96a-774e4bc0b25c', 'd7eff29a-ece9-4c5a-8963-025f9013f5c6']","['Radikale Venstre', 'Enhedslisten - De Rød-Grønne', 'SF - Socialistisk Folkeparti', 'Socialdemokratiet']","['B', 'Ø', 'F', 'A']"
Lyngby-Taarbæk,389115,2025-10-06 11:58:53,2025-10-06 11:58:53,VF2,"['4bc59464-026f-4486-8c44-c3db292a7f9d', '5f037ce7-bc3e-4322-bca6-2f1865a238fb', 'a1c8a7af-0c3d-4500-bceb-5b2e94e986f7', 'abf9be10-4946-469b-b5b2-efd7a68e866b']","['Liberal Alliance', 'Dansk Folkeparti', 'Moderaterne', 'Venstre, Danmarks Liberale Parti']","['I', 'O', 'M', 'V']"
Lyngby-Taarbæk,389115,2025-10-06 11:58:53,2025-10-06 11:58:53,VF1,"['3d9bf156-27a2-4f17-bd32-1c300dbae2c1', '3ec9637d-4a81-43e7-9104-620fb39d1689']","['Det Konservative Folkeparti', 'Alternativet']","['C', 'Å']"
Kalundborg,389141,2025-10-06 10:51:02,2025-10-06 10:51:02,C og O og Æ,"['0ae8e34e-cac2-4c43-bb5f-71e390842208', '74646011-4bae-4fa1-8c44-c8dd0f7a8a37', 'fcd59953-cb8b-402c-9696-6582ba13eaba']","['Danmarksdemokraterne - Inger Støjberg', 'Det Konservative Folkeparti', 'Dansk Folkeparti']","['Æ', 'C', 'O']"
Kalundborg,389141,2025-10-06 10:51:02,2025-10-06 10:51:02,M og V,"['92e4b990-861e-4352-89ad-9c5eb2d37d59', 'f3809c41-d480-435c-a601-4ab99b92d747']","['Venstre, Danmarks Liberale Parti', 'Moderaterne']","['V', 'M']"
Kalundborg,389141,2025-10-06 10:51:02,2025-10-06 10:51:02,B og L,"['76ba2366-5ab7-4978-8406-ea54f54d1b34', '7fa789a8-8bd4-4016-adcd-75fb059b5103']","['Radikale Venstre', 'Kalundborg Listen']","['B', 'L']"
Kalundborg,389141,2025-10-06 10:51:02,2025-10-06 10:51:02,A og F og Ø,"['29c8bd44-4a7b-4bb6-aa9a-5c9a7efc57ed', '2c32caf1-2931-4a98-a483-362a570956a1', '42fea147-4e53-4260-a79b-f733ca5b425e']","['Enhedslisten - De Rød-Grønne', 'Socialdemokratiet', 'Socialistisk Folkeparti']","['Ø', 'A', 'F']"
