kandidat,parti,kommune,stemmer
Susanne Eilersen,Dansk Folkeparti,Fredericia Kommune,1259
Thomas Kastrup Christensen,Dansk Folkeparti,Aarhus Kommune,1259
Pernille Holm,SF,Horsens Kommune,1257
Bettina Nørkjær Franch,Radikale,Aarhus Kommune,1252
Tobias Bøgeskov,Socialdemokratiet,Aalborg Kommune,1252
Anne Marie Geisler Andersen,Radikale,Esbjerg Kommune,1247
Christian Bro,Socialdemokratiet,Fredericia Kommune,1246
Susanne Dyreborg,Danmarksdemokraterne,Esbjerg Kommune,1236
Bjarne Laustsen,Socialdemokratiet,Rebild Kommune,1233
Louise Louring,Venstre,Odder Kommune,1204
Jan Beck-Nielsen,Liberal Alliance,Silkeborg Kommune,1204
Holger Schou Rasmussen,Socialdemokratiet,Lolland Kommune,1200
Annette Rieva,Venstre,Hillerød Kommune,1195
Henning Hyllested,Enhedslisten,Esbjerg Kommune,1185
Vibeke Gamst,Konservative,Aalborg Kommune,1174
Allan Gjersbøl,Socialdemokratiet,Norddjurs Kommune,1165
Sikandar Siddique,Frie Grønne,Københavns Kommune,1163
Mette Skaarup,Enhedslisten,Odense Kommune,1162
Thomas Elong,Moderaterne,Hillerød Kommune,1161
Mehmet Zeki Dogru,Enhedslisten,Greve Kommune,1161
Vivi Nør Jacobsen,SF,Albertslund Kommune,1160
Ulrik John Nielsen,L,Egedal Kommune,1159
Kirstine Bille,SF,Syddjurs Kommune,1156
Astrid Aller,SF,Københavns Kommune,1148
Brigitte Klintskov Jerkel,Konservative,Greve Kommune,1146
Nikoline Erbs Hillers-Bendtsen,Alternativet,Aarhus Kommune,1141
Stine Isaksen,Alternativet,Viborg Kommune,1140
Soma Mayel,Radikale,Fredensborg Kommune,1139
Ib Lauritsen,Venstre,Ikast-Brande Kommune,1138
Thomas Tonsberg Schlie,Venstre,Silkeborg Kommune,1130
Süleyman Yücel,Venstre,Næstved Kommune,1122
Kasper Damsgaard,Socialdemokratiet,Glostrup Kommune,1114
Klaus Hansen,Venstre,Ringsted Kommune,1112
Polly Bak Dutschke,Moderaterne,Aarhus Kommune,1111
Malene Søgaard-Andersen,SF,Fredericia Kommune,1110
Henrik Vej Kastrupsen,Konservative,Varde Kommune,1098
Jill Byrdal,Venstre,Frederikshavn Kommune,1097
Dan Arnløv,Konservative,Vejle Kommune,1092
Christian Wibe-Marker,Konservative,Skanderborg Kommune,1083
Merete Amdisen,Socialdemokratiet,Ishøj Kommune,1079
Marie-Louise Høgh,SF,Viborg Kommune,1072
Eva Borchorst Mejnertz,Socialdemokratiet,Aarhus Kommune,1071
Susanne Jacobsen,Venstre,Silkeborg Kommune,1071
Charlotte Vindeløv,SF,Skanderborg Kommune,1070
Thomas Hiorth,SF,Kalundborg Kommune,1068
Githa Nelander,Dansk Folkeparti,Næstved Kommune,1066
Roya Moore,Konservative,Odense Kommune,1064
Kristine Ammitzbøll-Bille,Radikale,Københavns Kommune,1062
Maria Stagis,Socialdemokratiet,Aalborg Kommune,1060
Camilla Meyer,Socialdemokratiet,Faxe Kommune,1055
Thomas Klimek,Socialdemokratiet,Hjørring Kommune,1053
Kasper Ejsing Olesen,Socialdemokratiet,Kerteminde Kommune,1053
Helle Bak Andreasen,Venstre,Jammerbugt Kommune,1051
Anders Bøge,SF,Skive Kommune,1048
Jane Østergaard,SF,Aalborg Kommune,1044
Kjeld Thrane,Konservative,Haderslev Kommune,1043
Alexander Ryle,Liberal Alliance,Københavns Kommune,1042
Jesper Tvilde,Konservative,Fredensborg Kommune,1039
Ditte Helene Rasmussen,SF,Odense Kommune,1037
Chris Olesen,Venstre,Lemvig Kommune,1037
Mads Frandsen,Venstre,Silkeborg Kommune,1035
Noah James Donkin,SF,Helsingør Kommune,1033
Allan Bo Andresen,Venstre,Favrskov Kommune,1033
Niels Chr. Selchau-Mark,Konservative,Favrskov Kommune,1031
Jesper Kiel,Enhedslisten,Svendborg Kommune,1030
Torben Overgaard,Konservative,Thisted Kommune,1025
Malika Bøge Rosenskjold,Radikale,Aarhus Kommune,1021
Gitte Frederiksen,Venstre,Vejle Kommune,1017
Steffen Holme Helledie,Radikale,Aalborg Kommune,1017
Svend Madsen,Danmarksdemokraterne,Mariagerfjord Kommune,1017
Ann Lindhardt,Venstre,Hørsholm Kommune,1013
Peter Sig Kristensen,Enhedslisten,Silkeborg Kommune,1010
Michael Krogsgaard,Konservative,Jammerbugt Kommune,1009
Trine Dybkjær,Radikale,Gentofte Kommune,1006
Tine Hessner,Radikale,Furesø Kommune,1003
Brian Lyck Jørgensen,Dansk Folkeparti,Gribskov Kommune,995
Christian Froberg Dahl,Konservative,Bornholms Regionskommune,995
Nikolaj Enggård Fogh,Konservative,Odder Kommune,983
Jan Schjerning,Venstre,Kolding Kommune,980
Mikkel Ammitzbøll,SF,Esbjerg Kommune,978
Anette Jensen,Danmarksdemokraterne,Aalborg Kommune,978
Betina Bugge,Danmarksdemokraterne,Skive Kommune,977
Anette Mortensen,Venstre,Stevns Kommune,977
Lasse Olsen,Enhedslisten,Aalborg Kommune,975
Tommy Hummelmose,Konservative,Odense Kommune,974
Marianne Bjørn,Venstre,Herning Kommune,973
Jens-Bernhard Knudsen,Venstre,Herning Kommune,969
Marc Genning,Venstre,Greve Kommune,967
Gitte Grønbæk,Liberal Alliance,Kolding Kommune,962
Karina Vincentz,N,Odsherred Kommune,961
Hanne Lund,Venstre,Vejle Kommune,961
Mette Nøhr,Konservative,Favrskov Kommune,960
Martin Graff Jørgensen,SF,Vordingborg Kommune,958
Torsten Troelsen,Danmarksdemokraterne,Herning Kommune,956
Aleksander Myrhøj,SF,Norddjurs Kommune,949
Peter Larsen,Liberal Alliance,Thisted Kommune,947
Peter Faarbæk,Socialdemokratiet,Høje-Taastrup Kommune,944
Claus Skjoldborg,Socialdemokratiet,Odense Kommune,944
Per Nyborg,Konservative,Vesthimmerlands Kommune,941
Anders Krojgaard Lund,Konservative,Horsens Kommune,940
Jørgen Korshøj,Venstre,Horsens Kommune,938
Lise Bertelsen,Konservative,Viborg Kommune,938
Karsten Thomsen,Socialdemokratiet,Frederikshavn Kommune,937
Bo Schnedler Pedersen,Danmarksdemokraterne,Vejle Kommune,936
Torben Wallner,Konservative,Skanderborg Kommune,930
Henrik Agesen,Venstre,Jammerbugt Kommune,930
Helle Frederiksen,Socialdemokratiet,Aalborg Kommune,928
Gry Bruun Nielsen,Radikale,Hjørring Kommune,919
Christina Wex,Konservative,Gentofte Kommune,917
Jimmy Simonsen,Venstre,Sønderborg Kommune,916
Lone Børlum,Socialdemokratiet,Herning Kommune,915
Malte Jäger,Liberal Alliance,Kerteminde Kommune,915
Hans Ejner Bertelsen,Venstre,Morsø Kommune,907
Helle Husted Lehmann,Danmarksdemokraterne,Holstebro Kommune,906
Nanna Lippert Troelsen,SF,Aarhus Kommune,905
John Thomsen,Venstre,Herning Kommune,904
Preben Friis-Hauge,Venstre,Varde Kommune,904
Katrine Burmann,Socialdemokratiet,Guldborgsund Kommune,900
Molle Lykke Nielsen,Dansk Folkeparti,Kolding Kommune,897
Christian Hem,Venstre,Jammerbugt Kommune,897
Morten Skovlund,Socialdemokratiet,Vejle Kommune,895
Tage Petersen,Venstre,Sønderborg Kommune,892
Johannes Kristensen,Konservative,Guldborgsund Kommune,892
Mikkel Lundemann,Konservative,Stevns Kommune,890
Morten Vehl Revsbeck,Danmarksdemokraterne,Silkeborg Kommune,884
Jens Tilma,Konservative,Thisted Kommune,882
Steffen Wich,Socialdemokratiet,Aarhus Kommune,881
Johan Brødsgaard,Radikale,Silkeborg Kommune,879
Jesper Smaling,Socialdemokratiet,Sønderborg Kommune,879
Poul Burgaard,Venstre,Varde Kommune,878
Mark Søgaard,Socialdemokratiet,Assens Kommune,877
Jens Borup,Venstre,Frederikshavn Kommune,869
René Christensen,Moderaterne,Guldborgsund Kommune,865
Jesper Larsen,Socialdemokratiet,Sønderborg Kommune,861
Anja Rosengreen,SF,Halsnæs Kommune,859
Stefan Lydal,Dansk Folkeparti,Sønderborg Kommune,856
Esben Hedeager,Konservative,Horsens Kommune,855
Jonas Sivertsen,Socialdemokratiet,Silkeborg Kommune,853
Mette Laurberg,Socialdemokratiet,Gladsaxe Kommune,851
Claus Houden,Venstre,Odense Kommune,851
Gunvor Ganer Krejberg,SF,Aarhus Kommune,850
Michael Stensig Bertelsen,Socialdemokratiet,Skanderborg Kommune,849
Peder Hummelmose,Venstre,Vejle Kommune,848
Natja Hedegaard Gram,Socialdemokratiet,Viborg Kommune,844
Dorthe Pia Hansen,Socialdemokratiet,Holstebro Kommune,841
Kirsten Kronborg,SF,Herning Kommune,840
Simon Pihl Sørensen,Socialdemokratiet,Lyngby-Taarbæk Kommune,840
Dorthe Ullemose,Dansk Folkeparti,Svendborg Kommune,839
Steen Christiansen,Socialdemokratiet,Albertslund Kommune,839
Mai Nørreskov,Socialdemokratiet,Egedal Kommune,838
Louise Svenstrup,Liberal Alliance,Aarhus Kommune,837
Kamilla Kjeldgaard Futtrup,Enhedslisten,Thisted Kommune,833
Maria Witthøft,Socialdemokratiet,Greve Kommune,833
Martin Alminde Friis,Socialdemokratiet,Billund Kommune,832
Majbritt Birkholm,Dansk Folkeparti,Holstebro Kommune,829
Thyge Havgaard Bjerring,Venstre,Vejle Kommune,829
Lisbeth Torfing,Enhedslisten,Horsens Kommune,828
John Tefke,Konservative,Lyngby-Taarbæk Kommune,825
Kurt Bjerrum,Venstre,Esbjerg Kommune,824
Vivi Brit Nielsen,Venstre,Sønderborg Kommune,824
Peter Kruse,Liberal Alliance,Skanderborg Kommune,824
Bjørn Olsen,Alternativet,Aarhus Kommune,822
Kristian Stride,Socialdemokratiet,Silkeborg Kommune,822
Gerda H. Jørgensen,Venstre,Vejle Kommune,822
Lone Pilgaard Sørensen,Socialdemokratiet,Lemvig Kommune,819
Jens Szabo,Venstre,Skanderborg Kommune,819
Cecilie Haaland,Socialdemokratiet,Haderslev Kommune,818
Anne-Marie Bengtson,Venstre,Aalborg Kommune,817
Lars Mogensen,Liberal Alliance,Viborg Kommune,813
Maria Høj Pedersen,Venstre,Esbjerg Kommune,812
Karsten Filsø,SF,Holstebro Kommune,812
Lars Møller Pedersen,Socialdemokratiet,Struer Kommune,811
Egil Hulgaard,Konservative,Furesø Kommune,811
Charlotte Roest,Socialdemokratiet,Næstved Kommune,809
Anne Mette Mortensen,Dansk Folkeparti,Aalborg Kommune,808
Tina Skov Larsen,Venstre,Esbjerg Kommune,807
Ulla Kokfelt,Dansk Folkeparti,Helsingør Kommune,807
Ulrik Hyldgaard,Venstre,Herning Kommune,806
Pia Offer Madsen,Liberal Alliance,Assens Kommune,804
Kitty Gamkinn,N,Varde Kommune,803
René Haahr,Venstre,Svendborg Kommune,803
Daniel Borup,Venstre,Aalborg Kommune,802
Christoffer Pedersen,Venstre,Syddjurs Kommune,802
Birthe Lauridsen,Enhedslisten,Lolland Kommune,799
Rasmus Anker Rysgaard,Radikale,Aarhus Kommune,799
Mie Stattau,Venstre,Fredensborg Kommune,799
Mette Ekstrøm,Socialdemokratiet,Aalborg Kommune,797
Alex Vejby Nielsen,Socialdemokratiet,Vejle Kommune,796
Morten Riis,Enhedslisten,Bornholms Regionskommune,791
Dorte R. Pannicke,Konservative,Vejle Kommune,791
