kandidat,parti,kommune,stemmer
Jesper Stegler,Socialdemokratiet,Brøndby Kommune,100
Torben Smith,SF,Faaborg-Midtfyn Kommune,100
Allan Mads Knægt,Konservative,Nordfyns Kommune,100
Rie Ramsdal,Konservative,Odder Kommune,100
René Borg,E,Svendborg Kommune,100
Kasper Heebøll Harboe,Liberal Alliance,Helsingør Kommune,100
Jørgen Bach Jensen,SF,Viborg Kommune,100
Pernille Brunse,Venstre,Gentofte Kommune,100
Hans Jørgen Møller,Socialdemokratiet,Vesthimmerlands Kommune,100
Jonas H. Petersen,Moderaterne,Odense Kommune,100
Melanie Hauchrog Reddig Spieler,Dansk Folkeparti,Gribskov Kommune,99
Christina Berg,Socialdemokratiet,Struer Kommune,99
Claus Vildrik,Danmarksdemokraterne,Aarhus Kommune,99
Morten Spongenberg Thorup,Socialdemokratiet,Egedal Kommune,99
Anne-Marie Jørgensen,Kristendemokraterne,Vesthimmerlands Kommune,99
Rikke Mohr Jørgensen,Enhedslisten,Kerteminde Kommune,99
Lene Bach Nørgaard,Moderaterne,Viborg Kommune,99
Christina Dilling-Munk,SF,Ringsted Kommune,99
Tage Andersen,Venstre,Morsø Kommune,99
Lars Schubert,Radikale,Vejle Kommune,99
Jeanette Wentzel,L,Vordingborg Kommune,99
Marie Louise Pedersen,Liberal Alliance,Nordfyns Kommune,99
Carsten Winther,Konservative,Rudersdal Kommune,99
Tina Sørensen,Konservative,Ikast-Brande Kommune,99
Jakob Brokholm Mortensen,Socialdemokratiet,Lemvig Kommune,99
Klaus Svensson,Socialdemokratiet,Lolland Kommune,99
Henrik Sylvest Olsen,Socialdemokratiet,Lyngby-Taarbæk Kommune,99
Jan Werner,Danmarksdemokraterne,Langeland Kommune,99
Lennart Hartmann,Liberal Alliance,Ishøj Kommune,99
Niels Haastrup,Konservative,Svendborg Kommune,99
Lene Vestergaard Elsborg,Danmarksdemokraterne,Fredericia Kommune,99
Ole Wedel-Brandt,Enhedslisten,Ishøj Kommune,99
Thor Bay Andersen,SF,Mariagerfjord Kommune,99
Christian Elmelund-Præstekær,Venstre,Faaborg-Midtfyn Kommune,99
Lars Flemming Mogensen,Radikale,Næstved Kommune,99
John Christoffersen,Socialdemokratiet,Struer Kommune,99
Torben Schiermer,Socialdemokratiet,Vejle Kommune,98
Emil Ottesen,L,Albertslund Kommune,98
Maria Nielsen,Liberal Alliance,Thisted Kommune,98
Niels Plum,Venstre,Bornholms Regionskommune,98
Stephanie Winther Jones,Socialdemokratiet,Næstved Kommune,98
Mie Mai Reimers Mai,Radikale,Halsnæs Kommune,98
Peter Egtorp,Socialdemokratiet,Brøndby Kommune,98
Michael Lund Markussen,Kristendemokraterne,Vejle Kommune,98
Mille Boll-Kragelund,Venstre,Rebild Kommune,98
Bent Larsen,Dansk Folkeparti,Egedal Kommune,98
Cecer Bjørk,SF,Kolding Kommune,98
Marianne Rosengren Pacarada,Enhedslisten,Svendborg Kommune,98
Kristine Bugge Mellemgaard,Socialdemokratiet,Ballerup Kommune,98
Jesper Nordentoft,Radikale,Greve Kommune,98
Pernille Schnoor,Moderaterne,Hørsholm Kommune,97
Jens Wittrock,Dansk Folkeparti,Hillerød Kommune,97
Sanne Madsen,SF,Rebild Kommune,97
Stine Thier-Andersen,Konservative,Mariagerfjord Kommune,97
Rikke Porting Høffding,SF,Ishøj Kommune,97
Sedi Byskov,Enhedslisten,Faxe Kommune,97
David Ibsen,Liberal Alliance,Gladsaxe Kommune,97
Allan Kristensen,Konservative,Ballerup Kommune,97
Birgitte Juel,Liberal Alliance,Vesthimmerlands Kommune,97
Hanne Christensen,SF,Struer Kommune,97
Jesper Winther Andersen,Venstre,Rudersdal Kommune,97
Mark Ambech,Konservative,Ærø Kommune,97
Bo Ancher Jensen,Dansk Folkeparti,Bornholms Regionskommune,97
Emilie Hjort Fog,Konservative,Viborg Kommune,97
Tina Buchwald,Liberal Alliance,Gribskov Kommune,97
Flemming Jørgensen,Socialdemokratiet,Albertslund Kommune,97
René Haupt Larsen,Dansk Folkeparti,Odsherred Kommune,97
Niels Voetmann Jepsen,Radikale,Horsens Kommune,97
Tine Riisbøll,Enhedslisten,Skanderborg Kommune,97
Katja Hillers,Radikale,Skanderborg Kommune,97
Leif Nielsen,SF,Dragør Kommune,97
Marianne Jensen,Enhedslisten,Aarhus Kommune,97
Erik Faurholt Siggaard,Venstre,Lyngby-Taarbæk Kommune,96
Liss Porsborg,Socialdemokratiet,Dragør Kommune,96
Thomas Hauger,Enhedslisten,Esbjerg Kommune,96
Inette Vintersfjord,SF,Sorø Kommune,96
Bo Petersen,Venstre,Faaborg-Midtfyn Kommune,96
Svenn Thunø,Socialdemokratiet,Holbæk Kommune,96
Henrik Holmgaard,Venstre,Faxe Kommune,96
Anne Jensen,Socialdemokratiet,Bornholms Regionskommune,96
Anne Rosenkilde Ebbe,Konservative,Guldborgsund Kommune,96
Mikael Kaae Andersen,Moderaterne,Aalborg Kommune,96
Jan Jørgensen,Dansk Folkeparti,Odder Kommune,96
Trine Søe,Konservative,Dragør Kommune,96
Lars Østergaard,Venstre,Norddjurs Kommune,96
Steffen Krog,Danmarksdemokraterne,Thisted Kommune,96
Jeanette Jensen,N,Kalundborg Kommune,96
Elise Bjerkrheim,Frie Grønne,Københavns Kommune,96
Martin Mackeprang Vinther,Konservative,Hillerød Kommune,96
Flemming Kragh Thomassen,Venstre,Favrskov Kommune,96
Peter Viuff,Venstre,Vejen Kommune,96
Jens Weiss,E,Ærø Kommune,96
Heidi Alberthe Nielsen,Socialdemokratiet,Billund Kommune,96
Susanna Uhrskov,Dansk Folkeparti,Horsens Kommune,96
Frank Ellegaard Nielsen,Venstre,Solrød Kommune,96
Søren Radoor,Enhedslisten,Egedal Kommune,96
Tharjan Jeyananthan,Socialdemokratiet,Holbæk Kommune,95
Søren B. Arvidsen,Moderaterne,Norddjurs Kommune,95
Jesper Jensen,Dansk Folkeparti,Vejen Kommune,95
Leif Poulsen,Venstre,Varde Kommune,95
Brian Perri,Moderaterne,Holbæk Kommune,95
Peter Laigaard,Socialdemokratiet,Frederikshavn Kommune,95
Andreas Hjalte Seeberg,SF,Aarhus Kommune,95
Hans Jensen,Enhedslisten,Hjørring Kommune,95
Brian Nissen,Socialdemokratiet,Billund Kommune,95
Niels Schriver,Enhedslisten,Aarhus Kommune,95
Josefine Vilvig Kristensen,SF,Middelfart Kommune,95
Christian de Jonquières,E,Fredensborg Kommune,95
Mathias D. Christiansen,Enhedslisten,Haderslev Kommune,95
Musa Kekec,Socialdemokratiet,Ballerup Kommune,95
Martin Crillesen,Konservative,Sorø Kommune,95
Kaj Alstrup,Enhedslisten,Assens Kommune,95
Carsten Bech,Venstre,Syddjurs Kommune,95
Mark F. Kramer,Dansk Folkeparti,Kalundborg Kommune,95
Finn Hallberg,N,Odsherred Kommune,95
Tom Sivertsen,G,Sønderborg Kommune,95
Dorte Daugaard,Venstre,Kerteminde Kommune,95
Søren Wiese,Venstre,Samsø Kommune,95
Mads Hansen,Danmarksdemokraterne,Guldborgsund Kommune,95
Dejla Mehdi,Enhedslisten,Aarhus Kommune,94
Christian Martens,Danmarksdemokraterne,Billund Kommune,94
Laura Horn,Enhedslisten,Greve Kommune,94
Søren Schou,Venstre,Fredericia Kommune,94
Ole Dupont Kofod,Alternativet,Assens Kommune,94
Camilla Mortensen,L,Guldborgsund Kommune,94
René Flou,Konservative,Aalborg Kommune,94
Jonas Lyberg Kofod,Konservative,Hillerød Kommune,94
Flemming Risskov Jørgensen,Enhedslisten,Assens Kommune,94
Søren Hersdorf,Liberal Alliance,Halsnæs Kommune,94
Jan Mathisen,R,Københavns Kommune,94
Christian Faurholdt Jeppesen,Socialdemokratiet,Bornholms Regionskommune,94
Rasmus Rask,Socialdemokratiet,Rebild Kommune,94
Anne-Sophie Schjønning,Konservative,Favrskov Kommune,94
Ronni Mark Nielsen,Venstre,Greve Kommune,94
Jørgen Clement,Venstre,Billund Kommune,93
Heine Obitsø Jepsen,Socialdemokratiet,Holstebro Kommune,93
Jilali Daf,Socialdemokratiet,Ishøj Kommune,93
Malene Hildegaard,Enhedslisten,Svendborg Kommune,93
Jesper Bøgh Sørensen,Socialdemokratiet,Frederikshavn Kommune,93
Bayram Yüksel,Socialdemokratiet,Ishøj Kommune,93
Birgit Gedionsen,Enhedslisten,Solrød Kommune,93
Martin Hager Andersen,Socialdemokratiet,Favrskov Kommune,93
Peter Hoffmann Nielsen,Socialdemokratiet,Tårnby Kommune,93
Thomas Sciavitsky Bentsen,Venstre,Gentofte Kommune,93
Ole J. J. Jensen,Moderaterne,Faaborg-Midtfyn Kommune,93
Jesper Overgaard,Radikale,Hjørring Kommune,93
Bjørn Svensson,Enhedslisten,Fredensborg Kommune,93
Helle Katrine Møller,Socialdemokratiet,Furesø Kommune,93
Bojanna Visby Jensen,Konservative,Halsnæs Kommune,93
Joan Frausing,SF,Aarhus Kommune,93
Lars Bæk,SF,Rødovre Kommune,93
Christoffer B. Toft,Venstre,Gentofte Kommune,93
Hanne Jeppesen,Konservative,Skive Kommune,93
Jonas Richardt Hansen,Venstre,Odense Kommune,93
Claus Møller-Nielsen,Konservative,Silkeborg Kommune,93
Illa Jepsen,L,Egedal Kommune,93
Lars Clausen,Konservative,Skanderborg Kommune,93
Anja Skovbo Rønnebro,Radikale,Nordfyns Kommune,93
Deniz Celal Kilic,Socialdemokratiet,Furesø Kommune,93
Claus Jensen,Liberal Alliance,Guldborgsund Kommune,93
Sune Foldager,Enhedslisten,Skive Kommune,93
Ole Lynggaard Jørgensen,Radikale,Vejle Kommune,93
Leif Hansen,Slesvigsk Parti,Tønder Kommune,93
Gerhard Bertelsen,Slesvigsk Parti,Sønderborg Kommune,93
Jesper Martinusen,Venstre,Odder Kommune,93
Rune Palm,SF,Københavns Kommune,92
Sara Gabel,Dansk Folkeparti,Kolding Kommune,92
Sinisa Lozo,Moderaterne,Aarhus Kommune,92
Dennis Bramsen,Socialdemokratiet,Skanderborg Kommune,92
Lisbeth Svane Kusk,Socialdemokratiet,Morsø Kommune,92
Lars Thomsen,U,Glostrup Kommune,92
Poul Harald Holm,Kristendemokraterne,Sønderborg Kommune,92
Peter Kent Starup,Konservative,Esbjerg Kommune,92
Jean Thierry,Enhedslisten,Københavns Kommune,92
Otto Asbjørn Rasmussen,Socialdemokratiet,Høje-Taastrup Kommune,92
Anette Bang Hendry,Moderaterne,Hillerød Kommune,92
Martin Kristensen,J,Lolland Kommune,92
Karla Andreassen,Enhedslisten,Syddjurs Kommune,92
Mohammad Amin Soleymani,SF,Skive Kommune,92
Merete Rask Egholm,Dansk Folkeparti,Halsnæs Kommune,92
Alexander Baadh,Socialdemokratiet,Rudersdal Kommune,92
Ole Lindeborg Johansen,Konservative,Aarhus Kommune,92
Per Kim Nielsen,SF,Lolland Kommune,92
Hans Peter Rousing,Dansk Folkeparti,Ikast-Brande Kommune,92
Oliver Panthera,Liberal Alliance,Favrskov Kommune,92
Helle Stolberg,Socialdemokratiet,Københavns Kommune,92
Tobias Kaastrup Ørsted,SF,Aalborg Kommune,91
Martin Lindberg Laursen,SF,Odense Kommune,91
Søren Harders,Venstre,Middelfart Kommune,91
Frederik Halkjær,Socialdemokratiet,Vejle Kommune,91
Jens Anker Hornemann,Venstre,Langeland Kommune,91
Laurits Mols,Venstre,Vejle Kommune,91
Allan Nyhus,Radikale,Københavns Kommune,91
Line Sørensen,Dansk Folkeparti,Viborg Kommune,91
Lars Bøgelund,Danmarksdemokraterne,Syddjurs Kommune,91
Astrid Ørting Jørgensen,Venstre,Tønder Kommune,91
Ole Normann Buch,Konservative,Københavns Kommune,91
Jesper Boie,Socialdemokratiet,Herning Kommune,91
Irene Tørnæs,Venstre,Middelfart Kommune,91
Paw Rytter,Moderaterne,Hjørring Kommune,90
Thomas Ellegaard,Socialdemokratiet,Gentofte Kommune,90
Stig Chalmer Rasmussen,Konservative,Kerteminde Kommune,90
Rajesh Holmen,Frie Grønne,Københavns Kommune,90
Jesper Trommer Volf,Liberal Alliance,Rudersdal Kommune,90
Lukas Albrechtsen,Enhedslisten,Kolding Kommune,90
Christian I. Jacobsen,Enhedslisten,Odense Kommune,90
Kristina Heiden,Radikale,Haderslev Kommune,90
Anders Jørgensen,Venstre,Vejen Kommune,90
Lis Mancini,Socialdemokratiet,Mariagerfjord Kommune,90
Noor Hamoody,Moderaterne,Tårnby Kommune,90
Thomas Skov Jensen,Enhedslisten,Odense Kommune,90
Laila Flyvholm Jensen,Socialdemokratiet,Vesthimmerlands Kommune,90
Mikael Andersen,Dansk Folkeparti,Lolland Kommune,90
Ronnie Skov,Liberal Alliance,Guldborgsund Kommune,90
Casper Mayo,SF,Gentofte Kommune,90
Kim Withen Olesen,Konservative,Syddjurs Kommune,90
Julie Marie Larsen,Socialdemokratiet,Albertslund Kommune,90
Rita Westergaard,T,Tønder Kommune,90
Ditte Keidser,Konservative,Holbæk Kommune,90
Jean Meadows,Radikale,Gladsaxe Kommune,90
Ronny Børger,Dansk Folkeparti,Tårnby Kommune,90
Lars Blach Jensen,Moderaterne,Vordingborg Kommune,90
Heidi Wang,Venstre,Københavns Kommune,90
Gertrud Møgelgaard Dühring,SF,Vordingborg Kommune,90
Lars Jalking,Enhedslisten,Holbæk Kommune,90
Lene Stumph Nielsen,Socialdemokratiet,Ikast-Brande Kommune,89
Victor V. Nielsen,Dansk Folkeparti,Halsnæs Kommune,89
Steen Aarup Thomsen,Socialdemokratiet,Rebild Kommune,89
Poul Rand,Liberal Alliance,Fredericia Kommune,89
Sanne Damsgaard,Socialdemokratiet,Greve Kommune,89
Sara Sloth Faaborg,Venstre,Odder Kommune,89
Alfred Østergaard,Venstre,Næstved Kommune,89
Mette-Rose Kongstad,SF,Assens Kommune,89
Anders Lund,Danmarksdemokraterne,Tønder Kommune,89
Angelica Pedersen,Venstre,Halsnæs Kommune,89
Karoline Matilde Christensen,Venstre,Struer Kommune,89
Ellen Ngos Lenskjold Trae,Konservative,Langeland Kommune,89
Jan René Christensen,E,Aarhus Kommune,89
Niels Ole Beck,Socialdemokratiet,Varde Kommune,89
Birgit Hamming,Enhedslisten,Holbæk Kommune,89
Rikke Stjerne,Venstre,Frederikshavn Kommune,89
Anne Kirstine Raun Senderovitz,T,Solrød Kommune,89
Tim Meicker,Socialdemokratiet,Dragør Kommune,89
Mostafa M. Zaarab,Venstre,Københavns Kommune,89
Jørgen Otto Kongerslev,Danmarksdemokraterne,Vejle Kommune,89
Jan Færch,Konservative,Solrød Kommune,89
Anette Sandgreen,Socialdemokratiet,Vallensbæk Kommune,89
Nanna Kjær,Socialdemokratiet,Hillerød Kommune,89
Gert Kræsing,Dansk Folkeparti,Guldborgsund Kommune,89
Linda Frølund,Alternativet,Middelfart Kommune,89
Peter Dalsgaard Japa,SF,Odense Kommune,89
Philip David Dolan Møller,Radikale,Aarhus Kommune,89
Brian Salomonsen,Radikale,Middelfart Kommune,88
Sidsel Boertmann Brüel,Enhedslisten,Københavns Kommune,88
Gitte Kvist,Konservative,Varde Kommune,88
Kim Laursen,Moderaterne,Københavns Kommune,88
Kim Hauborg,Socialdemokratiet,Tønder Kommune,88
Mikkel Molin,Venstre,Rødovre Kommune,88
Carsten Hougaard Nielsen,Venstre,Syddjurs Kommune,88
Kim Thonsgaard,Konservative,Gribskov Kommune,88
Ulrick Christiansen,Socialdemokratiet,Sønderborg Kommune,88
Keld Storm,L,Faaborg-Midtfyn Kommune,88
Jeanne Blum,Danmarksdemokraterne,Ringsted Kommune,88
Helle Skøttrup,Dansk Folkeparti,Jammerbugt Kommune,88
Carl Jørgen Heide,Konservative,Ærø Kommune,88
Inge Helle Hansen,Socialdemokratiet,Hillerød Kommune,88
Caroline Kusk,Enhedslisten,Brønderslev Kommune,88
Carl-Eric Würtz Pallesen,Socialdemokratiet,Norddjurs Kommune,88
Jesper Leth,Liberal Alliance,Gribskov Kommune,88
Lars V. Søndergaard-Nielsen,Konservative,Rudersdal Kommune,88
Astrid Høgsbjerg Rasmussen,Enhedslisten,Brøndby Kommune,88
Per Dahlin,Venstre,Solrød Kommune,88
Niels Ringvig,Venstre,Næstved Kommune,88
Charlotte Mia Kongshammer,Moderaterne,Lyngby-Taarbæk Kommune,88
Claus Sørensen,Danmarksdemokraterne,Ikast-Brande Kommune,88
Pia Voel,Socialdemokratiet,Dragør Kommune,88
Christina Koch Petersen,J,Fredericia Kommune,88
Bo Skov Johansen,Socialdemokratiet,Horsens Kommune,88
Søren Øverup,Konservative,Hørsholm Kommune,88
Jette Meinertz,Dansk Folkeparti,Ballerup Kommune,88
Berit Raldin,Enhedslisten,Thisted Kommune,88
Hugo Andersen,Socialdemokratiet,Hjørring Kommune,88
Maria Dideriksen,Socialdemokratiet,Lolland Kommune,87
Ejler Skjerning,Venstre,Sønderborg Kommune,87
Lars Schmidt,Moderaterne,Hillerød Kommune,87
Flemming Kjærgaard,Socialdemokratiet,Sorø Kommune,87
Alex Klein,Konservative,Thisted Kommune,87
Peter Nielsen,Socialdemokratiet,Morsø Kommune,87
Marianne Røgen,Socialdemokratiet,Egedal Kommune,87
Carsten Bering,Konservative,Næstved Kommune,87
Birgitte Brøj,SF,Kalundborg Kommune,87
Jan Broholm,Enhedslisten,Kalundborg Kommune,87
Christina Leonhard,L,Guldborgsund Kommune,87
Jette Andersen,Socialdemokratiet,Greve Kommune,87
Katrine Friborg,Socialdemokratiet,Ærø Kommune,87
Pernille Kjul Knudsen,Konservative,Hjørring Kommune,87
Theresa Kolmos,Enhedslisten,Sønderborg Kommune,87
Kasper Haagensen,Moderaterne,Lyngby-Taarbæk Kommune,87
Michelle Beldner,Enhedslisten,Halsnæs Kommune,87
Michael Hillebrandt,Konservative,Herning Kommune,87
Abdul Rehman Khan,Moderaterne,Ishøj Kommune,87
Maja Bendtsen,Liberal Alliance,Syddjurs Kommune,87
Bodil Lilliegaard,Dansk Folkeparti,Langeland Kommune,86
Susanne Majgaard,Danmarksdemokraterne,Jammerbugt Kommune,86
Kristoffer Boye Astrup,Radikale,Rudersdal Kommune,86
Maria Allenfeld Jensen,Socialdemokratiet,Odsherred Kommune,86
Klaus Huus,Konservative,Ringsted Kommune,86
Michael Høy Nedergaard,Socialdemokratiet,Helsingør Kommune,86
Peter Bilgrav,Alternativet,Viborg Kommune,86
Børge Larsen,Dansk Folkeparti,Fredericia Kommune,86
Mads Søe Daugaard,Moderaterne,Kalundborg Kommune,86
Marianne Vejen Jespersen,SF,Kolding Kommune,86
Brian Skafsgaard Thinggaard,Socialdemokratiet,Thisted Kommune,86
Jacob Lænsø,Konservative,Syddjurs Kommune,86
Sabina Wittkop-Hansen,Slesvigsk Parti,Haderslev Kommune,86
Peder Cabion Hansen,Dansk Folkeparti,Gladsaxe Kommune,86
Emilly Pedersen,Socialdemokratiet,Brønderslev Kommune,86
Emil Møller,Socialdemokratiet,Favrskov Kommune,86
Ruben Baagøe Jacobsen,T,Tønder Kommune,86
Brian Lebæk,Socialdemokratiet,Nordfyns Kommune,86
Ole M. Jung,Konservative,Næstved Kommune,86
Alina Protsyk,Radikale,Københavns Kommune,86
Lars Bloch,Moderaterne,Halsnæs Kommune,86
Karsten Kriegel,Konservative,Ballerup Kommune,86
Gry Hernø,Socialdemokratiet,Lolland Kommune,86
Erik Simonsen,Konservative,Odense Kommune,85
Louise Lauge Thorsen,Socialdemokratiet,Glostrup Kommune,85
Kim Krogh Nielsen,Venstre,Viborg Kommune,85
Keren Familia Christensen,Venstre,Thisted Kommune,85
Joachim Hougaard,Dansk Folkeparti,Norddjurs Kommune,85
Maricel Frandsen,Venstre,Lolland Kommune,85
Nicklas Langer,Socialdemokratiet,Odense Kommune,85
Michael Bjerg Hansen,Dansk Folkeparti,Horsens Kommune,85
Liselotte Heftholm,Socialdemokratiet,Frederikshavn Kommune,85
Svend Astrup,Socialdemokratiet,Syddjurs Kommune,85
Johnnie Gregersen,Kristendemokraterne,Rødovre Kommune,85
Svend Hansen,SF,Aalborg Kommune,85
Henrik Bach,Dansk Folkeparti,Brøndby Kommune,85
Rico Ray Hernandez Jensen,Venstre,Syddjurs Kommune,85
Lars Vestergaard,Dansk Folkeparti,Københavns Kommune,85
Peter Liltorp,SF,Middelfart Kommune,85
Ganna Lindhard,Konservative,Favrskov Kommune,85
Charlotte Holtermann,Socialdemokratiet,Ballerup Kommune,85
Magnus Thomasen,SF,Odder Kommune,85
Jens Møller,Venstre,Tønder Kommune,85
Søren Larnkjær,Konservative,Odsherred Kommune,85
Dan von der Lippe,Socialdemokratiet,Norddjurs Kommune,85
Preben Dixen,Konservative,Odense Kommune,85
Flemming Blicher,U,Gribskov Kommune,85
Nikolai Løvbjerg Friis,Venstre,Billund Kommune,85
Poul Erik Nygaard,Danmarksdemokraterne,Viborg Kommune,85
Thea Hjøllund Hansen,Z,Syddjurs Kommune,84
Sheldon Mau,Socialdemokratiet,Egedal Kommune,84
Birgit Erichsen,Danmarksdemokraterne,Egedal Kommune,84
Tommy Ib Sandgaard,Radikale,Herning Kommune,84
Nikolaj Nors-Ganer,Liberal Alliance,Furesø Kommune,84
Kim Daugbjerg,Socialdemokratiet,Halsnæs Kommune,84
Martin Kondrup Jensen,Konservative,Rebild Kommune,84
Birthe Skovgård,Venstre,Faaborg-Midtfyn Kommune,84
Michael Jordan Harritslev,Socialdemokratiet,Hjørring Kommune,84
Jens Kallehave,N,Kalundborg Kommune,84
Britta Bertel,SF,Norddjurs Kommune,84
Hekla Hekla,Alternativet,Lyngby-Taarbæk Kommune,84
Martin Svane,Socialdemokratiet,Svendborg Kommune,84
Kim Jørstad,SF,Kerteminde Kommune,84
Claus Buch,Venstre,Københavns Kommune,84
Ilka Daniel,Venstre,Norddjurs Kommune,84
Mads S. B. Pedersen,Socialdemokratiet,Københavns Kommune,84
Anne Fussing,Dansk Folkeparti,Ringsted Kommune,84
Michael Søndermand,SF,Faxe Kommune,84
Christian Højberg,Liberal Alliance,Thisted Kommune,84
Finn Lambek,SF,Esbjerg Kommune,84
Gert Jensen,Venstre,Glostrup Kommune,84
Daniel Aage Holm,Dansk Folkeparti,Skanderborg Kommune,84
Tobias Fisch Albrechtsen,L,Egedal Kommune,84
Kent Budolfsen,Liberal Alliance,Hjørring Kommune,84
Lukas Skjalm Lissner,Enhedslisten,Rødovre Kommune,84
Niels Hilker,SF,Sorø Kommune,84
Frederik Wulle,Liberal Alliance,Ærø Kommune,84
Leif Gjørtz Christensen,Enhedslisten,Odder Kommune,84
Ramalingam Sivalingam,Socialdemokratiet,Holstebro Kommune,83
Rasmus Wiwe,Enhedslisten,Svendborg Kommune,83
Ole Beckmann,Venstre,Ishøj Kommune,83
Jens Wedenborg,Konservative,Københavns Kommune,83
Aligo Francis,Socialdemokratiet,Næstved Kommune,83
Jan Schoubo,Venstre,Fredericia Kommune,83
L. Maeve Ivan Althof,Enhedslisten,Odense Kommune,83
Maja Cecilie Jørgensen,SF,Nordfyns Kommune,83
Jørgen Dahlgaard,Danmarksdemokraterne,Morsø Kommune,83
Erik Jørs,Radikale,Ærø Kommune,83
Rune Højer,Dansk Folkeparti,Haderslev Kommune,83
Joan Prahl,J,Bornholms Regionskommune,83
Peter Lund Sørensen,Konservative,Rødovre Kommune,83
Tenna Duch Schaldemose,Alternativet,Aarhus Kommune,83
Kasper R. Nielsen,Venstre,Viborg Kommune,83
Eva Ebbesen,T,Tønder Kommune,83
Gitte Holm-Jensen,Liberal Alliance,Sorø Kommune,83
Lena Schroll,SF,Vordingborg Kommune,83
Rico Sandager,Venstre,Halsnæs Kommune,83
Mette Askov,SF,Halsnæs Kommune,82
Claus Opstrup Olesen,Liberal Alliance,Holstebro Kommune,82
Magnus Jørgensen,Konservative,Sorø Kommune,82
Leif Egholm,Socialdemokratiet,Odsherred Kommune,82
Clément Blain,Enhedslisten,Favrskov Kommune,82
Jacob Rosen Madsen,Socialdemokratiet,Ikast-Brande Kommune,82
Lone Stæhr,Enhedslisten,Faxe Kommune,82
Per Mortensen,Dansk Folkeparti,Morsø Kommune,82
Philipp Cerny,SF,Samsø Kommune,82
Marianne Aaris Andersen,Y,Viborg Kommune,82
Frederik Müller,L,Helsingør Kommune,82
Ditte Krøyer,Enhedslisten,Holbæk Kommune,82
John Finmann,Venstre,Syddjurs Kommune,82
Mette Munck,Moderaterne,Rudersdal Kommune,82
Kim Nilum,Venstre,Odense Kommune,82
Frederik Siliam,Liberal Alliance,Gladsaxe Kommune,82
Ulrik Mark Jensen,Konservative,Vesthimmerlands Kommune,82
Dennis Nielsen,Socialdemokratiet,Fredericia Kommune,82
Dennis Paaske,Liberal Alliance,Kolding Kommune,82
Susanne Pahlmann,Enhedslisten,Greve Kommune,82
Patrick Witting,Dansk Folkeparti,Ballerup Kommune,82
Thomas Olsen,Venstre,Dragør Kommune,82
Ole Jensen,Konservative,Rebild Kommune,82
Casper Dahl Stenfelt,Socialdemokratiet,Høje-Taastrup Kommune,82
Erik Eugen Olsen,Socialdemokratiet,Rudersdal Kommune,82
Per Christensen,Dansk Folkeparti,Nordfyns Kommune,82
Lise Caprani,N,Norddjurs Kommune,82
Kristine Skytte Glue,Konservative,Ærø Kommune,82
Henrik Sandholm,Konservative,Vejle Kommune,82
Martin Dyrgård Kaspersen,Radikale,Faaborg-Midtfyn Kommune,82
Torben Frydenlund Rasmussen,Liberal Alliance,Kerteminde Kommune,82
Barbara Krarup Hansen,Y,Tønder Kommune,82
Tommy Bredal Storgaard,Enhedslisten,Langeland Kommune,82
Jens Frøkjær,Radikale,Jammerbugt Kommune,82
Per Nørgaard Andersen,Liberal Alliance,Tårnby Kommune,82
Jens Have,Venstre,Skive Kommune,82
Jakob Meibom,Socialdemokratiet,Sorø Kommune,82
Sabrina Bach Meldgaard,Moderaterne,Hillerød Kommune,81
Poul Elmkær,D,Nordfyns Kommune,81
Casper Larsen,Liberal Alliance,Glostrup Kommune,81
Bo Jensen,Liberal Alliance,Egedal Kommune,81
Katja Elberg,Radikale,Hørsholm Kommune,81
Karoline Geneser,Radikale,Lyngby-Taarbæk Kommune,81
Thomas Sichelkow,Moderaterne,Københavns Kommune,81
Svend-Erik Jakobsen,Socialdemokratiet,Ringsted Kommune,81
Peter Kristensen,Danmarksdemokraterne,Rebild Kommune,81
Theis Clamer Hansen,Moderaterne,Gribskov Kommune,81
Camilla Dalum Jensen,Enhedslisten,Middelfart Kommune,81
André Amingsø,D,Ballerup Kommune,81
Susanne Kongsaa,L,Egedal Kommune,81
Bill Kaae,Dansk Folkeparti,Gribskov Kommune,81
Mads Justsen,Venstre,Gentofte Kommune,81
Martin Stenner,Socialdemokratiet,Lyngby-Taarbæk Kommune,81
Benedikte Skov Pedersen,Konservative,Norddjurs Kommune,81
Berit Algreen Nilsson,Socialdemokratiet,Brøndby Kommune,81
Trine Nielsen,Socialdemokratiet,Morsø Kommune,81
Per Thorsteinsson,SF,Herning Kommune,81
Mathias Niebuhr,Socialdemokratiet,Københavns Kommune,81
Birgith Bondekjær Langballe,Y,Viborg Kommune,81
Ann Britt Frederiksen,Socialdemokratiet,Vesthimmerlands Kommune,81
Signe Driefer,Radikale,Hillerød Kommune,81
Jørgen Dahlgaard,Radikale,Aarhus Kommune,81
Nicklas Skov Hansen,Socialdemokratiet,Horsens Kommune,81
Inge Kolind,SF,Samsø Kommune,81
Kresten Kjær Sørensen,Socialdemokratiet,Aarhus Kommune,81
Hanne Mie Madsen,SF,Frederikshavn Kommune,80
Niels H. Bünemann,Venstre,Frederikshavn Kommune,80
Frederik Roose Øvlisen,Konservative,Rudersdal Kommune,80
Lisbeth Dam Larsen,Moderaterne,Dragør Kommune,80
Lene Guldbrandt,Konservative,Favrskov Kommune,80
Annette Frøhling,Enhedslisten,Helsingør Kommune,80
